gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5488682495,win,Ranked Solo,2021-10-03 11:01:02,26m 39s,3,2,11,7.00:1,empty,empty,Jarvan IV,Master,empty,Ryze,kimchi open1,Zed,gaengsin,Akshan,L9 SUSSY BAKA,Draven,Whiterog,Rakan,hgotdsxz,Jarvan IV,masked gamer XD,Kayn,erased jgl,Rumble,Suirotas,Veigar,pipey,Thresh,Prosfair
5488648878,win,Ranked Solo,2021-10-03 10:19:54,30m 36s,7,4,12,4.75:1,Double Kill,empty,Renekton,Grandmaster,empty,Aatrox,Wufo,Talon,OnerKING,Karthus,quack1,Draven,LDLC Gumayusi,Nautilus,ight,Renekton,masked gamer XD,Viego,Expecto Patrounm,Pantheon,Armoured Dragon,Brand,Undercover CameL,Lulu,HAHHAHAHAHAXXDDD
5488607721,win,Ranked Solo,2021-10-03 09:40:48,25m 55s,5,3,6,3.67:1,Double Kill,empty,Gnar,Grandmaster,empty,Gnar,masked gamer XD,Lee Sin,OnerKING,Zoe,Its Me InDeed,Miss Fortune,quack1,Viktor,styropianzserem,Poppy,Seminol,Kindred,Shinzouku,LeBlanc,Reu,Draven,LDLC Gumayusi,Lulu,HAHHAHAHAHAXXDDD
5488448441,win,Ranked Solo,2021-10-03 07:03:45,31m 51s,1,2,9,5.00:1,empty,empty,Gnar,Grandmaster,empty,Gnar,masked gamer XD,Qiyana,better bot win1,Irelia,Saulius 10,Syndra,sajatoruu,Rakan,Chouineur 1,LeBlanc,Einard,Graves,2021Worlds0000,Sett,Suirotas,Lucian,C9 ZVENNN,Yuumi,lolNash
5488383256,win,Ranked Solo,2021-10-03 06:22:25,32m 51s,9,4,7,4.00:1,Triple Kill,MVP,Gangplank,Grandmaster,empty,Gangplank,masked gamer XD,Lee Sin,jarda jagr,Ryze,msfvetheo1,Samira,Icelandwinter,Rell,TESLA OPTIMUS,Gragas,Sips Freelo,Zed,jungle dream,LeBlanc,Reu,Lucian,motus vetiti,Amumu,Targamas
5488356674,lose,Ranked Solo,2021-10-03 05:43:38,24m 11s,3,7,11,2.00:1,ACE,empty,Renekton,Grandmaster,empty,Aatrox,Gaëthan1,Lee Sin,asdfghjklqwe,Ryze,Doinbibi,Kalista,HoIyPhoenîx,Amumu,Zergsting,Renekton,masked gamer XD,Talon,jungle dream,Syndra,TC Hú Táo,Draven,DIGESTHUMANFLESH,Rell,TESLA OPTIMUS
5488332513,win,Ranked Solo,2021-10-03 05:12:34,21m 26s,4,2,3,3.50:1,empty,empty,Camille,Grandmaster,empty,Camille,masked gamer XD,Taliyah,C9 Blaberfish2,Irelia,ég jojopyun,Ziggs,Bardtu,Alistar,euw tourist,Lee Sin,Laí zì shan dong,Diana,Happy Alexx,Qiyana,TC Hú Táo,Draven,DIGESTHUMANFLESH,Nami,WatchMyPuppets
5488197917,win,Ranked Solo,2021-10-03 04:33:09,20m 10s,2,2,7,4.50:1,empty,empty,Kennen,Grandmaster,empty,Kennen,masked gamer XD,Lee Sin,asdfghjklqwe,Zed,AIba Madalyon,Lucian,lucker3,Nami,TESLA OPTIMUS,Aatrox,JENAX UNCHAINED,Qiyana,HEART F STEEL,Fiora,Gaëthan1,Ziggs,C9 ZVENNN,Janna,HAHHAHAHAHAXXDDD
5488203288,win,Ranked Solo,2021-10-03 04:08:01,24m 3s,3,3,6,3.00:1,empty,empty,Renekton,Master,empty,Renekton,masked gamer XD,Lee Sin,nap ability,Twisted Fate,UMBBBBBBBBBBB,Twitch,Pinky windy,Lulu,Mihajlo Matic,Camille,chance no exist,Nidalee,khanzir slayer,LeBlanc,Czajek9z,Lucian,i Iove hot moms,Rakan,Raizins
5488127218,win,Ranked Solo,2021-10-03 03:24:23,18m 49s,9,3,9,6.00:1,MVP,empty,Kennen,Grandmaster,empty,Kennen,masked gamer XD,Graves,khanzir slayer,Lissandra,dayikooooo,Aphelios,avarice61,Alistar,LDNU Nyzah,Mordekaiser,H ι r o,Lee Sin,jungle dream,LeBlanc,Saulius 10,Ezreal,DWG KIA AD,Bard,WntFindMeLolPros
