gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
4050241361,win,Ranked Solo,2021-09-23 15:54:36,25m 54s,6,3,16,7.33:1,Double Kill,empty,Lillia,Grandmaster,empty,Poppy,gemí,Lee Sin,C9 eXyu,Zoe,iloveyou1234,Lucian,I4std4nceDF,Galio,RHINOOOOOOOOOOOO,Camille,zhong guo,Lillia,TL Armao,Zed,Tokai Teiö,Jhin,Tomo9,Maokai,Roffamau2
4050196408,lose,ARAM,2021-09-23 15:00:36,29m 50s,33,11,30,5.73:1,Double Kill,empty,Jayce,empty,empty,Quinn,AKILLAKILLA,Lee Sin,Dijkstra,Katarina,babanana,Syndra,abdum,Karthus,mitsuba12138,Brand,bansoloq is back,Neeko,Butt Mo,Lux,bansoloqs kitten,Twisted Fate,Tipper,Jayce,TL Armao
4050151307,win,Ranked Solo,2021-09-23 14:08:36,22m 10s,10,4,12,5.50:1,Double Kill,empty,Talon,Grandmaster,empty,Teemo,Yung Fappy,Talon,TL Armao,Lucian,Avano,Tristana,EDG Minui,Karma,Yesterkan,Irelia,onlyzz,Kindred,JungIe is weak,Soraka,wolverene,Samira,rank1mandingo,Amumu,tft couch2
4050096230,win,Ranked Solo,2021-09-23 13:32:05,26m 18s,8,2,5,6.50:1,Double Kill,empty,Viego,Grandmaster,empty,Gangplank,wirfjaiji,Qiyana,100 Kenvi,Kassadin,Quantum,Samira,rank1mandingo,Karma,CIyde,Teemo,Yung Fappy,Viego,TL Armao,Rumble,VX Najuehuo,Ezreal,juststopcaring,Bard,rocks908
4050092477,lose,Ranked Solo,2021-09-23 12:58:37,20m 6s,2,7,3,0.71:1,empty,empty,Talon,Grandmaster,empty,Gangplank,wirfjaiji,Lee Sin,C9 eXyu,Yone,rjsdndgod,Swain,Quantum,Blitzcrank,CIyde,Kennen,Satoshi,Talon,TL Armao,Irelia,Nemesis9,Jinx,juststopcaring,Thresh,rocks908
4048449624,win,Ranked Solo,2021-09-21 18:00:44,27m 9s,14,7,13,3.86:1,Double Kill,empty,Talon,Grandmaster,empty,Urgot,Autolykus,Talon,TL Armao,Sylas,Doxa,Kog'Maw,oota,Morgana,weakside crab,Cassiopeia,Strompest,Evelynn,Renfa,Qiyana,ZeroSzu3,Miss Fortune,Waxxi,Pyke,Delights Garden
4048465759,win,Ranked Solo,2021-09-21 17:13:36,37m 37s,9,10,8,1.70:1,empty,empty,Ekko,Grandmaster,empty,Sett,Autolykus,Lee Sin,Unako,Akali,hi im oreki,Ezreal,NAGATORO FAN,Bard,rocks908,Aatrox,Ricky Làfleur,Ekko,TL Armao,Qiyana,IllIlllllIllllIl,Veigar,vincent nasty,Soraka,Synotic
4048444089,win,Ranked Solo,2021-09-21 16:20:30,22m 21s,4,4,10,3.50:1,empty,empty,Talon,Grandmaster,empty,Aatrox,TheRealPhilip,Talon,TL Armao,Syndra,Cozy Milli,Xayah,Kral Luger,Bard,rocks908,Urgot,Autolykus,Zed,100100100100,LeBlanc,ChuChuZ,Kai'Sa,TL Yeon,Leona,Eyla
4048412268,win,Ranked Solo,2021-09-21 15:53:09,27m 32s,4,6,6,1.67:1,empty,empty,Talon,Grandmaster,empty,Gwen,Kanameme,Talon,TL Armao,Irelia,make you minë,Miss Fortune,iloveyou1234,Leona,Breezyyy,Riven,ln2you,Nidalee,Jozyy,Qiyana,ZeroSzu3,Cho'Gath,NACZZ,Senna,poome1
4048395338,win,Ranked Solo,2021-09-21 14:54:43,25m 36s,5,6,7,2.00:1,Double Kill,empty,Talon,Grandmaster,empty,Gangplank,Solarbacca,Lillia,weakside crab,Qiyana,waltz for hulot,Ezreal,Eyla,Bard,1234hitdinosaur,Camille,Dragoon,Talon,TL Armao,Zoe,Shiba lnu,Kai'Sa,TL Yeon,Yuumi,5tunt
4048330914,lose,Ranked Solo,2021-09-21 14:01:29,26m 43s,5,6,3,1.33:1,empty,empty,Talon,Grandmaster,empty,Riven,fiufiu,Talon,TL Armao,Akali,Shower D0G,Syndra,Voli Icon,Alistar,FLY Diamond,Kennen,      x       ˆ,Ekko,JungIe is weak,Yone,rjsdndgod,Miss Fortune,callum koi,Leona,Eyla
4048282590,win,Ranked Solo,2021-09-21 13:21:09,45m 33s,5,15,14,1.27:1,empty,empty,Talon,Grandmaster,empty,Sett,SleepwithWin,Taliyah,JungIe is weak,Talon,TL Armao,Ezreal,Iet me carry,Blitzcrank,FLY Diamond,Karma,zeroz,Nidalee,With Zoe,Qiyana,ZeroSzu3,Sivir,100 Lugerr,Leona,Voli Icon
4047636792,lose,Ranked Solo,2021-09-20 17:59:26,32m 50s,7,11,10,1.55:1,empty,empty,Olaf,Grandmaster,empty,Akali,hi im oreki,Shaco,Chase,Qiyana,ZeroSzu3,Kog'Maw,insanityxd,Karma,Yesterkan,Tryndamere,saku fan,Olaf,TL Armao,Karthus,Kris Weng 1 ,Irelia,Le JunMa,Amumu,ACKÈRMAN
4047653552,lose,Ranked Solo,2021-09-20 16:57:54,28m 26s,3,10,5,0.80:1,empty,empty,Talon,Grandmaster,empty,Camille,Dimitrylol,Taliyah,SHERN,Graves,LeenK LCS,Karthus,Karhus,Leona,Yesterkan,Fiora,Reeeeeevennngeee,Talon,TL Armao,Anivia,Søxo,Ezreal,tomeito,Sylas,ACKÈRMAN
4047619494,lose,Ranked Solo,2021-09-20 16:02:57,21m 6s,5,8,4,1.13:1,empty,empty,Talon,Grandmaster,empty,Jayce,neukda3,Talon,TL Armao,Zoe,Doxa,Varus,Chaeha,Lulu,Stitch º,Riven,ln2you,Elise,Calm Antebellum,Qiyana,Ethiridis,Jhin,Kindergarten,Soraka,Rocky9
4046576588,lose,Ranked Solo,2021-09-19 18:28:32,28m 59s,5,8,12,2.13:1,Double Kill,empty,Talon,Grandmaster,empty,Tryndamere,saku fan,Talon,TL Armao,Ryze,Draven696969,Tristana,oota,Amumu,Gweiss,Camille,Dhokla,Ekko,LeenK LCS,Yone,ZeroSzu3,Teemo,Aini FangYuan,Leona,stuntopolis
4046571317,lose,Ranked Solo,2021-09-19 17:07:05,31m 14s,6,9,6,1.33:1,empty,empty,Hecarim,Grandmaster,empty,Gnar,Time to go back,Lillia,Winston4,Akshan,Quantum,Miss Fortune,TSM Gorica,Yuumi,stuntopolis,Renekton,TimSevenhuysen,Hecarim,TL Armao,Azir,Sasha xo,Lucian,LeenK LCS,Soraka,coldcoldcoldcold
4046487516,lose,Ranked Solo,2021-09-19 16:19:10,35m 5s,13,6,9,3.67:1,Triple Kill,empty,Olaf,Challenger,empty,Lucian,jojopyun 16,Evelynn,KryRa,Kennen,Vxx Reb20201,Vayne,HappyBeePlayer,Leona,winstxn,Sett,Dhokla,Olaf,TL Armao,Tryndamere,insanityxd,Karthus,TwitchTv Jugttv,Soraka,Draven696969
4046463372,lose,Ranked Solo,2021-09-19 15:22:08,23m 7s,3,6,3,1.00:1,empty,empty,Lillia,Grandmaster,empty,Gangplank,wirfjaiji,Zed,Tokai Teiö,Sylas,jojopyun 16,Caitlyn,TyChee,Bard,Eyla,Urgot,Aidan 2,Lillia,TL Armao,Camille,Cyanosis,Aphelios,HappyBeePlayer,Leona,Breezyyy
4046428089,lose,Ranked Solo,2021-09-19 14:47:31,27m 22s,6,8,4,1.25:1,empty,empty,Volibear,Grandmaster,empty,Jayce,Cyanosis,Volibear,TL Armao,Kennen,Vxx Reb20201,Ezreal,Outsmarted,Karma,Breezyyy,Camille,Time to go back,Zed,Tokai Teiö,Sylas,jojopyun 16,Draven,TyChee,Leona,wohenshengqi
4045703409,win,Ranked Solo,2021-09-18 18:09:51,21m 47s,7,2,4,5.50:1,Double Kill,MVP,Lillia,Grandmaster,empty,Camille,GSDFQWASD,Evelynn,Calm Antebellum,Zoe,onlyzz,Jhin,Kazahana,Seraphine,Tempos,Kennen,Vxx Reb20201,Lillia,TL Armao,Qiyana,ZeroSzu3,Yasuo,Thats Not Fervor,Nami,Pseudo
4045711314,win,Ranked Solo,2021-09-18 17:29:18,15m 32s,5,1,5,10.00:1,Double Kill,MVP,Lillia,Grandmaster,empty,Fiora,GSDFQWASD,Lillia,TL Armao,Yone,ZeroSzu3,Aphelios,SentientAI,Thresh,Pseudo,Aatrox,ln2you,Kindred,koyi,Tryndamere,zhong guo,Swain,AutoSwolekus,Zilean,Tempos
4045636698,lose,Ranked Solo,2021-09-18 16:35:02,26m 48s,2,3,5,2.33:1,empty,empty,Lillia,Grandmaster,empty,Kennen,Dhokla,Taliyah,SHERN,Qiyana,ZeroSzu3,Draven,TyChee,Leona,winstxn,Fiora,Ethiridis,Lillia,TL Armao,Tristana,BETTERJGSUPWIN,Samira,Abedz,Rakan,Tempos
4044101725,lose,Ranked Solo,2021-09-17 05:58:01,19m 20s,4,10,3,0.70:1,empty,empty,Olaf,Grandmaster,empty,Kennen,roguebunny0,Olaf,TL Armao,Yone,dog2,Draven,hotaze,Alistar,Businessman47,Urgot,rank1mandingo,Rengar,Wxx REB20201,Akali,Le JunMa,Aphelios,HappyBeePlayer,Braum,Call Lin
4043758386,lose,Ranked Solo,2021-09-16 16:15:49,23m 53s,0,8,2,0.25:1,empty,empty,Volibear,Grandmaster,empty,Irelia,leave me alone1,Lee Sin,Winston4,LeBlanc,Strompest,Samira,HappyBeePlayer,Amumu,Delete All,Garen,perfunctory ToT,Volibear,TL Armao,Kennen,Vxx Reb20201,Caitlyn,juststopcaring,Zilean,Tempos
4043724062,win,Ranked Solo,2021-09-16 15:13:46,20m 48s,4,3,9,4.33:1,empty,empty,Diana,Grandmaster,empty,Riven,ln2you,Vi,Zativert Vi,Twisted Fate,Cool Crabbie,Miss Fortune,Shi Jian,Leona,ChuChuZ,Sett,wff011,Diana,TL Armao,Sylas,Pekin Woof,Draven,TyChee,Alistar,Yesterkan
4043750122,win,Ranked Solo,2021-09-16 14:47:26,25m 11s,14,5,9,4.60:1,Double Kill,empty,Amumu,Grandmaster,empty,Lucian,Kanameme,Lillia,bye im gosu,Akshan,Cool Crabbie,Yone,neeko sex king,Neeko,CIyde,Tahm Kench,Lumiñous,Amumu,TL Armao,Talon,Ke Ie,Miss Fortune,DeadGemini,Seraphine,Good Boi
4043666586,win,Ranked Solo,2021-09-16 14:07:47,16m 12s,7,3,9,5.33:1,empty,empty,Volibear,Grandmaster,empty,Malphite,Nim Chimpsky,Diana,Archour,Rumble,neeko sex king,Lucian,Seranok,Nami,stuntopolis,Akali,Cool Crabbie,Volibear,TL Armao,Zed,Sayhoon,Jinx,stebb12345,Sona, Braıne
4042949125,win,Ranked Solo,2021-09-15 16:46:59,28m 0s,6,3,10,5.33:1,empty,empty,Diana,Grandmaster,empty,Shen,Vxx Reb20201,Lee Sin,Winston4,Diana,TL Armao,Draven,TyChee,Alistar,Breezyyy,Aatrox,ln2you,Nidalee,C9 eXyu,Zed,IllIlllllIllllIl,Jhin,TSM FTX Cody Sun,Rakan,Tempos
4042953302,lose,Ranked Solo,2021-09-15 15:55:40,51m 30s,15,8,17,4.00:1,Triple Kill,empty,Olaf,Grandmaster,empty,Kennen,Swip3rR DISCIPLE,Graves,100 Chad,Irelia,Cool Crabbie,Samira,HappyBeePlayer,Yuumi,Deng It ,Cho'Gath,NACZZ,Olaf,TL Armao,Yone,ChuChuZ,Brand,Kvothe The Brave,Soraka,wolverene
4041948322,win,Ranked Solo,2021-09-14 17:28:25,22m 14s,7,2,9,8.00:1,Double Kill,MVP,Jarvan IV,Grandmaster,empty,Gwen,ChampBl,Jarvan IV,TL Armao,LeBlanc, Sudzzi,Miss Fortune,HaaaZe,Soraka,Mizli,Dr. Mundo,TimSevenhuysen,Graves,c2 meteos,Lissandra,Cozy Milli,Ezreal,juststopcaring,Sona,Tempos
4041925616,win,Ranked Solo,2021-09-14 16:41:47,24m 3s,7,3,11,6.00:1,empty,empty,Olaf,Grandmaster,empty,Singed,wx   nadp0910,Lee Sin,hua kai zai hui,Yone,IllIlllllIllllIl,Ezreal,PATH TO TOP,Karma,ACKÈRMAN,Cho'Gath,NACZZ,Olaf,TL Armao,Ryze,Draven696969,Akshan,Saicos Left Nut,Soraka,Synotic
4041962671,lose,Ranked Solo,2021-09-14 16:09:06,21m 35s,0,7,4,0.57:1,empty,empty,Lulu,Grandmaster,empty,Ornn,TheRealPhilip,Jarvan IV,SHERN,Irelia,BETTERJGSUPWIN,Varus,100 Lugerr,Soraka,stuntopolis,Gwen,PeruvianPassport,Nocturne,Draven696969,Lulu,TL Armao,Aphelios,HappyBeePlayer,Amumu,Businessman47
4041828237,lose,Ranked Solo,2021-09-14 15:18:56,34m 24s,11,4,12,5.75:1,Triple Kill,ACE,Lee Sin,Grandmaster,empty,Teemo,Yung Fappy,Lee Sin,TL Armao,Irelia,ying hua shu xia,Karthus,TwitchTv Jugttv,Leona,HappyBeePlayer,Ryze,KARUTADISCORDBOT,Viego,SHERN,Riven,ln2you,Tristana,Johnsun123,Amumu,stuntopolis
4041852933,lose,Ranked Solo,2021-09-14 14:26:56,21m 42s,8,4,2,2.50:1,empty,empty,Olaf,Grandmaster,empty,Wukong,perfunctory ToT,Karthus,TwitchTv Jugttv,Tristana,Thinkcards son,Syndra,TSMFTX Lost,Amumu,wohenshengqi,Ornn,Swip3rR DISCIPLE,Olaf,TL Armao,Kassadin,Demon Korasiii,Draven,TyChee,Galio,poome1
