gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490349057,lose,Ranked Solo,2021-10-04 07:46:42,15m 59s,2,5,4,1.20:1,empty,empty,Lee Sin,Grandmaster,empty,Tryndamere,SlXTEN,Ekko,2021Worlds,Irelia,dofaminu,Lucian,David Nutt3r,Nami,Frank Horrigan,Aatrox,SK Alois,Lee Sin,asdfghjklqwe,Twisted Fate,fastFF,Annie,Annie IRL,Rakan,Rückendeckung
5490431241,lose,Ranked Solo,2021-10-04 07:23:59,36m 2s,11,7,13,3.43:1,Double Kill,empty,Taliyah,Grandmaster,empty,Camille,Xiaobylenz,Kha'Zix,LMAO OmulFinn,Syndra,Gilius2,Lucian,EDG Innaxe,Nami,livelyfish5,Sett,for her sake,Taliyah,asdfghjklqwe,Graves,Chamana1,Aphelios,David Nutt3r,Nautilus,Rückendeckung
5490269064,lose,Ranked Solo,2021-10-04 06:40:36,27m 24s,8,13,7,1.15:1,Double Kill,empty,Taliyah,Grandmaster,empty,Aatrox,Gaëthan1,Lee Sin,VGIA 113,Sylas,better bot win1,Lucian,EDG Innaxe,Rakan,Rückendeckung,Jayce,Xiaobylenz,Taliyah,asdfghjklqwe,Ekko,HHNeverLucky v2,Varus,SAUCE WALKA,Amumu,Veignorem
5490321162,win,Ranked Solo,2021-10-04 06:05:30,33m 56s,6,6,9,2.50:1,Double Kill,empty,Lee Sin,Grandmaster,empty,Fiora,XLeQu,Viego,Whiteakitout,Lissandra,Mood rings,Draven,khanzir slayer,Nami,UOL Doedalo,Irelia,dofaminu,Lee Sin,asdfghjklqwe,Orianna,Chamana1,Ezreal,the super noob,Seraphine,SPEEDOBEAR
5490194426,win,Ranked Solo,2021-10-04 05:09:07,19m 40s,7,2,5,6.00:1,Double Kill,empty,Lee Sin,Grandmaster,empty,Aatrox,for her sake,Lee Sin,asdfghjklqwe,Malphite,GODZILLA66666666,Vayne,WTX Scripter,Karma,Xenis,Renekton,suh dude xD,Jarvan IV,J3kko,Sylas,C9 Blaberfish2,Lucian,Cutepatootie,Nami,livelyfish5
5490142023,lose,Ranked Solo,2021-10-04 04:43:25,15m 18s,5,5,2,1.40:1,ACE,empty,Taliyah,Grandmaster,empty,Yone,7zx,Taliyah,asdfghjklqwe,Vladimir,H ι r o,Lucian,WTX Scripter,Blitzcrank,iLL F13RC3 ,Rumble,Suirotas,Kayn,Lοvelorn,Malphite,GODZILLA66666666,Ezreal,Neon1337Ad,Amumu,SPEEDOBEAR
5490052224,lose,Ranked Solo,2021-10-04 04:16:13,41m 38s,9,9,3,1.33:1,empty,empty,Kindred,Grandmaster,empty,Camille,XLeQu,Kindred,asdfghjklqwe,LeBlanc,coza,Lucian,quack1,Sona,Shubber,Garen,H ι r o,Qiyana,Lοvelorn,Sylas,ten and a half,Heimerdinger,RektByStriker,Alistar,14yo smurf 
5489986621,win,Ranked Solo,2021-10-04 03:28:37,18m 59s,1,2,8,4.50:1,empty,empty,Kindred,Grandmaster,empty,Anivia,nakreB v2,Kindred,asdfghjklqwe,Kassadin,CS Big Boss,Ezreal,the super noob,Bard,UOL Doedalo,Camille,XLeQu,Ivern,CRIPPLED JGLXD,Yone,MCES Artoria,Tristana,Neon1337Ad,Leona,marlοn
5489942441,lose,Ranked Solo,2021-10-04 02:53:26,15m 12s,0,4,0,0.00:1,empty,empty,Lee Sin,Grandmaster,empty,Gangplank,Beartree,Lee Sin,asdfghjklqwe,Katarina,iLL SZYMONiLL4W,Tristana,Please try hard,Nami,Tw KristijanKing,Kennen,Bah Rhen ,Volibear,Happy Alexx,Qiyana,Son of Korea,Lucian,gr8erthanscripts,Galio,Björnen Baloo
5489786708,win,Ranked Solo,2021-10-04 02:29:34,21m 43s,15,0,6,Perfect,Double Kill,MVP,Taliyah,Grandmaster,empty,Darius,Zuhaîb,Lee Sin,khanzir slayer,Qiyana,deepbIackdemon,Jhin,FYN Notiko,Amumu,Apolo y Dafne,Poppy,Seminol,Taliyah,asdfghjklqwe,Graves,jiaVX PaoPaoPW,Lucian,i abuse ie ,Nami,Dannny
5489800690,win,Ranked Solo,2021-10-04 01:56:24,24m 11s,17,2,10,13.50:1,Triple Kill,MVP,Lee Sin,Grandmaster,empty,Gragas,Beartree,Zed,khanzir slayer,Irelia,Blodreinaaaaa,Jinx,MajorAlexander1,Leona,MORG3NSHTERN,Sylas,Vango,Lee Sin,asdfghjklqwe,Shen,dont be yikes,Tristana,SAUCE WALKA,Braum,the super noob
5489506895,win,Ranked Solo,2021-10-04 01:23:01,22m 48s,3,7,10,1.86:1,empty,empty,Aatrox,Grandmaster,empty,Irelia,Finn1,Rengar,ADCImpregnator,Diana,Kamus,Varus,Kaττen,Leona,BJK Lekcyc,Aatrox,asdfghjklqwe,Viego,best viego ever,Ekko,iLL F13RC3 ,Aphelios,Supaaa,Thresh,OTZ Wrongo
5489419531,win,Ranked Solo,2021-10-04 00:52:14,27m 11s,12,6,15,4.50:1,empty,empty,Rek'Sai,Grandmaster,empty,Lee Sin,H ι r o,Zed,CaÞs,Vex,Serendrip,Heimerdinger,RektByStriker,Nami,godzaimeris,Camille,chance no exist,Rek'Sai,asdfghjklqwe,Diana,Kamus,Varus,hiro3,Leona,BJK Lekcyc
5489355648,lose,Ranked Solo,2021-10-04 00:20:05,26m 0s,3,10,7,1.00:1,empty,empty,Xin Zhao,Grandmaster,empty,Sion,Thebausffs,Xin Zhao,asdfghjklqwe,Tryndamere,SlXTEN,Xerath,nap ability,Rakan,BJK Lekcyc,Kled,Katchy22,Kha'Zix,Retired Yung,Graves,jackisek,Karthus,the super noob,Karma,SISSY FEMBOY XD
5489278728,win,Ranked Solo,2021-10-03 23:40:26,20m 17s,16,0,11,Perfect,Double Kill,MVP,Taliyah,Grandmaster,empty,Kennen,Darlik1,Viego,Lοvelorn,Tryndamere,yüzenköfte,Ezreal,Abner,Soraka,High Øn Life,Kled,Katchy22,Taliyah,asdfghjklqwe,Anivia,Chamana1,Lucian,Achuu,Nautilus,Efias
5489214292,lose,Ranked Solo,2021-10-03 23:08:15,25m 33s,6,10,9,1.50:1,empty,empty,Trundle,Grandmaster,empty,Kennen,Bah Rhen ,Xin Zhao,ismaaa,Yone,Lοvelorn,Lucian,Abner,Nami,Knight Raviolo,Quinn,SoloAbuser,Trundle,asdfghjklqwe,Gragas,im car,Draven,RRRift,Alistar,sixsixsi666
5489127983,win,Ranked Solo,2021-10-03 22:27:26,20m 31s,5,4,6,2.75:1,empty,empty,Taliyah,Grandmaster,empty,Sett,l Need Blood ,Taliyah,asdfghjklqwe,Graves,OnerKING,Lucian,FattyP,Taric,WiIIyrex Fanboy,Fiora,dofaminu,Lee Sin,Gilius1,Katarina,SL0WDEATH,Ezreal,DIGESTHUMANFLESH,Rakan,soloqwarrior1
5488515917,win,Ranked Solo,2021-10-03 07:50:28,31m 32s,12,2,10,11.00:1,Double Kill,MVP,Lee Sin,Grandmaster,empty,Irelia,SołdSoulForLp,Zed,Sunflοwer,LeBlanc,Einard,Ziggs,C9 ZVENNN,Janna,Shubber,Sett,Suirotas,Lee Sin,asdfghjklqwe,Lucian,lucker3,Karthus,twtchtvELOSANTA,Bard,Chouineur 1
5488478175,win,Ranked Solo,2021-10-03 07:10:46,30m 44s,18,2,12,15.00:1,Triple Kill,empty,Taliyah,Master,empty,Volibear,KURU DUT,Graves,SMB Kireas,Ryze,aléc,Lucian,Yosikomo,Rakan,SGE Heimdall,Camille,JBL ABUSER,Taliyah,asdfghjklqwe,Sylas,Littlebuffbabe,Karthus,efiL,Janna,Shubber
5488461866,lose,Ranked Solo,2021-10-03 06:13:49,21m 16s,3,5,7,2.00:1,empty,empty,Xin Zhao,Grandmaster,empty,Lee Sin,H ι r o,Hecarim,UOL Cryptodir,Tryndamere,Tu po zi wo,Twitch,UnstoppableForce,Yuumi,lolNash,Aatrox,Gaëthan1,Xin Zhao,asdfghjklqwe,Ryze,GS Bolulu,Kalista,HoIyPhoenîx,Rakan,NanamiHakuya
5486555996,win,Ranked Solo,2021-10-02 04:37:57,35m 59s,3,4,19,5.50:1,empty,empty,Ezreal,Grandmaster,empty,Camille,chance no exist,Lee Sin,GW Stormax,Anivia,nakreB v2,Aphelios,EllamCompany,Rakan,Hantera1,Gragas,Babus,Graves,Sawyor,Katarina,twtv NyroLoL,Ezreal,asdfghjklqwe,Braum,Efias
5486429734,lose,Ranked Solo,2021-10-02 03:56:59,28m 38s,7,7,7,2.00:1,Double Kill,empty,Taliyah,Grandmaster,empty,Gangplank,XLeQu,Taliyah,asdfghjklqwe,Yone,ég jojopyun,Ezreal,Ryan McCombs,Senna,2021Worlds0044,Shen,Ila241,Evelynn,Roulette,Zed,420WeabooSlayer,Draven,EllamCompany,Sona,Qnoxs
5486453781,win,Ranked Solo,2021-10-02 03:21:26,32m 8s,7,7,12,2.71:1,Double Kill,empty,Taliyah,Grandmaster,empty,Kennen,masked gamer XD,Zed,bobber kong,Malzahar,Germi09,Karthus,Robert Sapolsky,Janna,HAHHAHAHAHAXXDDD,Rumble,Vizícsacsi,Taliyah,asdfghjklqwe,Talon,420WeabooSlayer,Lucian,C9 ZVENNN,Nami,lolNash
5486362371,win,Ranked Solo,2021-10-02 02:38:42,15m 27s,10,1,5,15.00:1,Double Kill,MVP,Kindred,Master,empty,Gnar,masked gamer XD,Kindred,asdfghjklqwe,Twisted Fate,Ila241,Twitch,JJ º,Thresh,OTZ Wrongo,Fiora,Nouji,Talon,8945GAZAL8915612,Orianna,dehastee,Ezreal,not a chat user,Karma,SPEEDOBEAR
5486313738,lose,Ranked Solo,2021-10-02 02:17:33,41m 43s,18,5,11,5.80:1,Double Kill,empty,Kindred,Master,empty,Graves,Gilius2,Kindred,asdfghjklqwe,Galio,Eyhro,Veigar,DIGESTHUMANFLESH,Bard,LVG White Lotus,Sett,Jadko,Ekko,tempsjgjlgslchok,Vladimir,Elite500,Ezreal,Mood rings,Nami,whiteinn
5486220691,win,Ranked Solo,2021-10-02 01:30:11,31m 8s,10,3,16,8.67:1,Triple Kill,empty,Kindred,Master,empty,Kayle,Yami Sukehiro,Viego,WorstJglEuw,Tristana,11Lunari Weapons,Draven,i abuse ie ,Yuumi,Qnoxs,Sett,lets get itt,Kindred,asdfghjklqwe,Vladimir,Elite500,Karthus,DIGESTHUMANFLESH,Blitzcrank,Topi xo
