gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490420207,lose,Ranked Solo,2021-10-04 08:33:25,24m 28s,2,13,6,0.62:1,ACE,empty,Sett,Master,empty,Lulu,Ain t famous boy,Zed,yüzenköfte,Syndra,SlXTEN,Kai'Sa,asdfghjqwert,Sett,NanamiHakuya,Aatrox,Gabbo,Talon,OnerKING,Sylas,huge performanz ,Tristana,the super noob,Blitzcrank,Frank Horrigan
5490271694,win,Ranked Solo,2021-10-04 05:55:46,27m 43s,7,7,12,2.71:1,empty,empty,Zyra,Grandmaster,empty,Pantheon,Wufo,Jarvan IV,for her sake,Sylas,TheRoyalKanin,Tristana,SAUCE WALKA,Zyra,NanamiHakuya,Kayn,tiltproof acc XD,Nidalee,C9 Blaberfish2,Zed,TwTv iljimaeLoL,Miss Fortune,LDLC Gumayusi,Leona,livelyfish5
5489536116,lose,Ranked Solo,2021-10-04 01:40:24,40m 53s,5,5,19,4.80:1,ACE,empty,Thresh,Master,empty,Fiora,Fulis wannabe,Ivern,CRIPPLED JGLXD,Lux,Play Date To You,Xayah,Goldenpenny,Rakan,ight,Jax,FIX SOL0Q,Jarvan IV,380V Jung ,Twisted Fate,152cm187kg24cm,Draven,Devid,Thresh,NanamiHakuya
5489063311,lose,Ranked Solo,2021-10-03 20:56:47,33m 33s,3,10,33,3.60:1,empty,empty,Taric,Master,empty,Shen,Bestejdercan,Master Yi,Austrian Yi,Yone,lIIIlllIIlllIIIl,Kog'Maw,fjoompbun,Sona,Schuhbart,Ornn,Byzza,Viego,BestCzechJungler,Zed,BROHAN AND SEKKI,Karthus,Abner,Taric,NanamiHakuya
5488772566,lose,Ranked Solo,2021-10-03 12:15:00,28m 46s,5,8,14,2.38:1,empty,empty,Senna,Master,empty,Volibear,Wufo,Kayn,erased jgl,Yasuo,Tοαst,Draven,pipey,Nami,Reu,Gwen,Thel1ttletiger,Evelynn,Splash 001,Yone,HRN Totosse,Lucian,Whiterog,Senna,NanamiHakuya
5488762262,lose,Ranked Solo,2021-10-03 11:28:28,21m 59s,4,7,4,1.14:1,Double Kill,empty,Rell,Grandmaster,empty,Lillia,Wufo,Lee Sin,OnerKING,Irelia,ég jojopyun,Karthus,Mοrdred,Amumu,Prosfair,Volibear,KURU DUT,Fiddlesticks,Splash 001,Qiyana,L9 SUSSY BAKA,Miss Fortune,quack1,Rell,NanamiHakuya
5488701956,lose,Ranked Solo,2021-10-03 10:52:01,23m 8s,1,7,12,1.86:1,empty,empty,Braum,Grandmaster,empty,Lillia,Wufo,Karthus,91 C LE BRESIL,Camille,KURU DUT,Lucian,KwK AlVaRo710,Braum,NanamiHakuya,Gwen,ΙrreΙevant,Lee Sin,OnerKING,Kassadin,Mοrdred,Miss Fortune,quack1,Leona,BUFFMEUP
5488599143,win,Ranked Solo,2021-10-03 10:03:26,29m 58s,2,7,16,2.57:1,empty,empty,Amumu,Master,empty,Camille,AST MagiFelix,Evelynn,Μaverick,Sylas,sajatoruu,Lucian,BUFFMEUP,Alistar,Follow The LIDER,Sett,Suirotas,Qiyana,noob stomper 69,LeBlanc,A41G Ryoshi,Miss Fortune,Dying To Heal,Amumu,NanamiHakuya
5488615739,win,Ranked Solo,2021-10-03 09:14:25,22m 44s,4,1,6,10.00:1,empty,empty,Galio,Grandmaster,empty,Irelia,ΙrreΙevant,Talon,Tu po zi wo,Galio,NanamiHakuya,Lucian,Please try hard,Taric,WiIIyrex Fanboy,Sion,jackisek,Kha'Zix,Raiden Shogun C2,Twisted Fate,Mοrdred,Kai'Sa,NF Change,Brand,Undercover CameL
5488592437,win,Ranked Solo,2021-10-03 08:39:53,27m 53s,2,4,15,4.25:1,empty,empty,Nami,Grandmaster,empty,Urgot,bausffs movement,Zac,BR Lord Semi,Syndra,BOXDEL NAURA,Lucian,Achuu,Nami,NanamiHakuya,Tryndamere,5454545454,Qiyana,Icelandwinter,LeBlanc,slowq9zb,Ezreal,nrmn,Rakan,KwK AlVaRo710
5488566442,lose,Ranked Solo,2021-10-03 08:01:04,27m 41s,1,5,21,4.40:1,empty,empty,Yuumi,Grandmaster,empty,Sion,maybe f keys ,Zed,nukëduck,Sylas,slowq9zb,Lucian,Beanovich,Yuumi,NanamiHakuya,Annie,Annie IRL,Lee Sin,MSF Sertuss,Ryze,ten and a half,Kai'Sa,hgotdsxz,Rakan,LiL TommyG
5488513079,win,Ranked Solo,2021-10-03 07:13:45,16m 2s,0,5,8,1.60:1,empty,empty,Nami,Grandmaster,empty,Sett,VGIA 113,Graves,357159,Tryndamere,Jonah Falcon,Miss Fortune,the super noob,Leona,W0jti,Fiora,SołdSoulForLp,Evelynn,SL0WDEATH,Sylas,ég jojopyun,Lucian,laozitianye,Nami,NanamiHakuya
5488448653,lose,Ranked Solo,2021-10-03 06:48:32,15m 12s,0,5,1,0.20:1,empty,empty,Rakan,Grandmaster,empty,Teemo,Alan234,Lee Sin,Nidhöggur,Vladimir,Qnoxs,Tristana,matiaslaclasse,Rakan,NanamiHakuya,Camille,7zx,Jarvan IV,Fαllεn,Kassadin,slowq9zb,Lucian,laozitianye,Nami,Targamas
5488461866,lose,Ranked Solo,2021-10-03 06:13:49,21m 16s,2,2,9,5.50:1,empty,empty,Rakan,Grandmaster,empty,Lee Sin,H ι r o,Hecarim,UOL Cryptodir,Tryndamere,Tu po zi wo,Twitch,UnstoppableForce,Yuumi,lolNash,Aatrox,Gaëthan1,Xin Zhao,asdfghjklqwe,Ryze,GS Bolulu,Kalista,HoIyPhoenîx,Rakan,NanamiHakuya
5488336446,lose,Ranked Solo,2021-10-03 05:40:11,25m 40s,1,7,2,0.43:1,empty,empty,Orianna,Grandmaster,empty,Irelia,pr1meé ,Lee Sin,J3kko,Akali,msfvetheo1,Kog'Maw,avarice61,Lulu,Czypsy,Kennen,Alan234,Viego,best viego ever,Orianna,NanamiHakuya,Lucian,motus vetiti,Nami,godzaimeris
5488200231,lose,Ranked Solo,2021-10-03 05:02:56,35m 33s,0,3,15,5.00:1,empty,empty,Thresh,Grandmaster,empty,Kennen,me like solobolo,Graves,357159,Tryndamere,00N Kerberos,Ezreal,SPOLFCEI,Soraka,High Øn Life,Riven, ممزق,Nidalee,blrzr,Yone,SHøWMAKéR,Aphelios,quack1,Thresh,NanamiHakuya
5488195243,win,Ranked Solo,2021-10-03 04:21:58,27m 3s,4,4,25,7.25:1,empty,empty,Nami,Grandmaster,empty,Singed,Ragnér3,Graves,357159,Sylas,SHøWMAKéR,Lucian,motus vetiti,Nami,NanamiHakuya,Irelia,dajor25 movement,Hecarim,Doaenel Hecarim,Yasuo,Tοαst,Tristana,SPOLFCEI,Karma,SPEEDOBEAR
5488173029,lose,Ranked Solo,2021-10-03 03:08:32,23m 30s,1,5,9,2.00:1,empty,empty,Nami,Master,empty,Yone,MCES Artoria,Diana,piesek dawida,Ekko,420WeabooSlayer,Xayah,11235,Rakan,PIYCRIGY,Tryndamere,Kekseres,Jax,tempsjgjlgslchok,Singed,LevelZeroFangirl,Lucian,CREØN,Nami,NanamiHakuya
5488029625,win,Ranked Solo,2021-10-03 02:26:22,17m 38s,2,1,16,18.00:1,empty,empty,Taric,Grandmaster,empty,Gragas,Babus,Graves,for her sake,Orianna,Pakk,Miss Fortune,II Anyone,Taric,NanamiHakuya,Urgot,bausffs movement,Lee Sin,Loumuis,Malzahar,SL0WDEATH,Karthus,G 2 3 H 1 Z U ,Janna,Fatihcan
5488034079,lose,Ranked Solo,2021-10-03 01:49:54,19m 40s,0,5,7,1.40:1,empty,empty,Braum,Grandmaster,empty,Fiora,chance no exist,Zed,Cinkrofffffffff,Malzahar,SL0WDEATH,Vayne,twrapamemonopanw,Braum,NanamiHakuya,Aatrox,SołdSoulForLp,Kha'Zix,Tanu,Ziggs,Smooth Guy,Lucian,UnstoppableForce,Taric,WiIIyrex Fanboy
5487294543,lose,Ranked Solo,2021-10-02 11:25:01,23m 9s,3,3,11,4.67:1,ACE,empty,Braum,Grandmaster,empty,Fiora,Xhen Doo,Talon,Ye Xiu3,Sylas,ƒallεn angel,Lucian,IlIlIlIlIllIlIl,Braum,NanamiHakuya,Aatrox,TwTv Naayil ,Ekko,OnerKING,Sett,ég jojopyun,Jhin,EDG Innaxe,Thresh,357159
