gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490481601,lose,Ranked Solo,2021-10-04 08:38:15,22m 13s,1,3,3,1.33:1,empty,empty,Kennen,Grandmaster,empty,Gragas,Suirotas,Graves,357159,Twisted Fate,B99 PERALTHAR,Lucian,RED 7itaN ,Nami,Aegis fangirlQAQ,Vayne,GNLGNL,Talon,Fressko,Kennen,DONT DISSAPEAR,Annie,Annie IRL,Soraka,F P Journe
5490451638,lose,Ranked Solo,2021-10-04 08:09:23,3m 21s,0,0,0,0.00:1,empty,empty,Camille,Grandmaster,empty,Urgot,bausffs movement,Diana,Fαllεn,Talon,IDRNKURMILKSHAKE,Amumu,Heimskáut réfur,Ezreal,RED 7itaN ,Camille,DONT DISSAPEAR,Hecarim,Doaenel Hecarim,Yasuo,David Nutt3r,Vel'Koz,Beaupere,Sylas,GNLGNL
5490349183,lose,Ranked Solo,2021-10-04 07:56:16,23m 34s,3,4,3,1.50:1,empty,empty,Camille,Grandmaster,empty,Poppy,Xiaobylenz,Lillia,NVD Flufo,Zed,TwTv Ronges1,Ezreal,hiro3,Soraka,UOL Doedalo,Camille,DONT DISSAPEAR,Ekko,Tu po zi wo,Graves,Chamana1,Caitlyn,Ruined Crazyadri,Karma,TESLA OPTIMUS
5490365098,lose,Ranked Solo,2021-10-04 07:27:55,26m 49s,7,4,6,3.25:1,empty,empty,Kennen,Grandmaster,empty,Kennen,DONT DISSAPEAR,Zed,Markoon,Irelia,ég jojopyun,Caitlyn,Ruined Crazyadri,Amumu,357159,Lee Sin,H ι r o,Taliyah,HRN Joinze,Sylas,agdang,Aphelios,C9 ZVENNN,Braum,Advienne
5490337589,win,Ranked Solo,2021-10-04 06:53:03,32m 48s,6,7,10,2.29:1,Double Kill,empty,Camille,Grandmaster,empty,Camille,DONT DISSAPEAR,Zed,Markoon,Vladimir,H ι r o,Miss Fortune,11Lunari Weapons,Karma,Efias,Riven,distant star,Diana,Happy Alexx,Irelia,Saulius 10,Caitlyn,Ruined Crazyadri,Senna,sindrelolpro2345
5490292535,win,Ranked Solo,2021-10-04 06:12:19,35m 55s,9,9,12,2.33:1,Double Kill,empty,Camille,Master,empty,Zilean,Looca,Taliyah,ImJony,Yasuo,Tοαst,Kai'Sa,VER Yusa,Rakan,Nash1,Camille,DONT DISSAPEAR,Kayn,Lοvelorn,Renekton,Happy Alexx,Ziggs,TheLegendOfMagic,Amumu,niki laudaa
5490215729,lose,Ranked Solo,2021-10-04 05:26:52,28m 2s,10,6,3,2.17:1,Double Kill,empty,Kennen,Grandmaster,empty,Kennen,DONT DISSAPEAR,Graves,A41G Blank,Zoe,fastFF,Lucian,Please try hard,Bard,Bardtu,Poppy,Seminol,Qiyana,123Tarzan,Malzahar,balagan,Kai'Sa,avarice61,Amumu,UOL Cryptodir
5490139362,win,Ranked Solo,2021-10-04 04:51:22,21m 15s,3,4,4,1.75:1,empty,empty,Kennen,Master,empty,Fiora,Darlik1,Taliyah,Aurora time,Syndra,Harbo,Ezreal,Stille Berg,Tahm Kench,GK Mishal,Kennen,DONT DISSAPEAR,Rengar,Hish,LeBlanc,MercedesBenzE500,Lucian,EDG Innaxe,Nami,θΘθΘθ
5489969317,win,Ranked Solo,2021-10-04 03:48:01,25m 8s,13,1,0,13.00:1,Quadra Kill,MVP,Kennen,Grandmaster,empty,Riven,Hnry32,Nidalee,TwTv Ronges1,Zed,TwTv iljimaeLoL,Caitlyn,Sebekx,Xerath,židovskej cigan,Kennen,DONT DISSAPEAR,Graves,357159,Yasuo,Tοαst,Lucian,not a chat user,Rell,TESLA OPTIMUS
5490034121,win,Ranked Solo,2021-10-04 03:17:15,14m 39s,1,2,2,1.50:1,empty,empty,Camille,Grandmaster,empty,Poppy,IAimToMisbehave,Lee Sin,jarda jagr,Rumble,FROMENXD,Jhin,not a chat user,Xerath,Ambiguously,Camille,DONT DISSAPEAR,Viego,IIIlIllIIIllIll,Anivia,Chamana1,Draven,DIGESTHUMANFLESH,Yuumi,Tw KristijanKing
5489770243,lose,Ranked Solo,2021-10-04 02:51:13,24m 7s,4,10,5,0.90:1,empty,empty,Camille,Grandmaster,empty,Camille,DONT DISSAPEAR,Fiddlesticks,EUW VILLAIN,Vi,Chamana1,Ezreal,quack1,Nautilus,Uzi mode1,Malphite,GODZILLA66666666,Evelynn,Roulette,Renekton,Tziz,Lucian,Achuu,Bard,EL BARDOOOO
5489736498,win,Ranked Solo,2021-10-04 02:19:52,20m 37s,2,3,5,2.33:1,empty,empty,Kennen,Grandmaster,empty,Urgot,bausffs movement,Ekko,easymoneysniper1,Yone,bird in a cage,Ezreal,gr8erthanscripts,Rakan,Lekcyc,Kennen,DONT DISSAPEAR,Zed,NattyNatt,Aurelion Sol,Detrimentum,Lucian,quack1,Bard,EL BARDOOOO
5489548345,win,Ranked Solo,2021-10-04 01:48:09,32m 56s,6,4,15,5.25:1,MVP,empty,Kled,Grandmaster,empty,Irelia,ég jojopyun,Skarner,nap ability,Orianna,Tziz,Ezreal,bird in a cage,Zilean,SPEEDOBEAR,Kled,DONT DISSAPEAR,Master Yi,Austrian Yi,Kassadin,Mid bad COPIUM,Caitlyn,Ruined Crazyadri,Bard,EL BARDOOOO
5489504475,win,Ranked Solo,2021-10-04 01:07:42,21m 49s,14,2,8,11.00:1,Triple Kill,MVP,Kennen,Master,empty,Jax,5454545454,Lee Sin,oef,Zoe,Alþhinaud,Varus,Sirinöx,Brand,play for me orFF,Kennen,DONT DISSAPEAR,Graves,Squid Player 456,Irelia,GNLGNL,Lucian,OlivierLeRoutier,Rakan,DUMAN
