gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
4046732259,win,Ranked Solo,2021-09-20 02:51:54,22m 14s,12,1,4,16.00:1,Double Kill,MVP,Jayce,Master,empty,Ryze,L Escape,Lee Sin,Spìrit,Yone,CRY NOW,Miss Fortune,Jayms,Zyra,PIant based,Jayce,Vase Admirer,Diana,trdblaster,Akshan,Ðriven,Zilean,hamz 4,Pyke,DabinPenguEmote
4046669341,win,Ranked Solo,2021-09-20 02:13:07,23m 39s,8,5,7,3.00:1,Double Kill,empty,Jayce,Master,empty,Camille,Glubbers,Talon,Airawn,Anivia,cantspellmidlane,Tristana,wx ad23,Leona,FlyHígh,Jayce,Vase Admirer,Ekko,1ove Are,Gwen,Kealan,Jinx,hamz 4,Thresh,Alxl
4006325163,win,Ranked Solo,2021-08-10 15:24:00,34m 12s,10,5,11,4.20:1,empty,empty,Volibear,Master,empty,Kayle,Shpinum,Kha'Zix,Dime,Lissandra,hi im oreki,Aphelios,Jemusi,Thresh,Dadumdum,Volibear,Vase Admirer,Lee Sin,s0rry11,Malzahar,legands,Akshan,SentientAI,Neeko,TwTv BTangLoL
4006280838,win,Ranked Solo,2021-08-10 14:35:21,23m 35s,7,5,5,2.40:1,Double Kill,empty,Jayce,Grandmaster,empty,Trundle,Stephen M Ross,Nidalee,SugarDaadyy,Seraphine,Pee But Nutter,Ashe,saving na,Braum,rain take you,Jayce,Vase Admirer,Kha'Zix,Dime,Lissandra,hi im oreki,Kog'Maw,juststopcaring,Thresh,RØY Mustang
4001884903,win,Ranked Solo,2021-08-06 14:22:39,16m 4s,1,0,6,Perfect,empty,empty,Gnar,Grandmaster,empty,Jayce,quantumfan,Diana,100 Kenvi,Graves,Avano,Jinx,juststopcaring,Rell,From Iron,Gnar,Vase Admirer,Viego,huhi,Ziggs,Bob The Robber,Aphelios,IPlayYouListen,Thresh,TSMFTX SwordArt7
4001824017,win,Ranked Solo,2021-08-06 13:08:19,15m 19s,1,2,4,2.50:1,empty,empty,Lillia,Master,empty,Vayne,DippyDan,Evelynn,1l1l1l1l1l1l1l1I,Kennen,ChvyFakrShowMakr,Jayce,Twitch Bejjaniii,Sona,AD Nannies Pref,Lillia,Vase Admirer,Xin Zhao,Winston4,Graves,Musou Isshin,Varus,EDG Minui,Neeko,TwTv BTangLoL
4001798197,win,Ranked Solo,2021-08-06 12:47:04,16m 16s,2,3,4,2.00:1,empty,empty,Irelia,Grandmaster,empty,Irelia,Vase Admirer,Viego,pass me the prio,Lucian,tft couch2,Caitlyn,Elopster,Neeko,TwTv BTangLoL,Jayce,Michelle Nguyen,Yone,rengar is good,Ryze,Juke Jouster,Ashe,Ran OvO,Veigar,chillfish
3999427772,win,Ranked Solo,2021-08-04 10:47:51,39m 43s,23,2,7,15.00:1,Double Kill,MVP,Akali,Grandmaster,empty,Akali,Vase Admirer,Ivern,YaBoíAnthony,Yone,zhong lu dui ju,Caitlyn,Raynarz,Thresh,dali van picass0,Nocturne,Itsover man,Diana,Mr Iemon,Yasuo,Aiden Yasuo,Ziggs,Zayno,Lulu,sigyetaeyeob1
3999432678,lose,Ranked Solo,2021-08-04 09:57:59,26m 58s,2,3,0,0.67:1,empty,empty,Irelia,Master,empty,Poppy,Topopotamus,Lee Sin,Glonkkk,Yasuo,Aiden Yasuo,Ziggs,21 03 21,Sona,DanDanQAQ,Irelia,Vase Admirer,Volibear,Ghoulster,Zed,pissss,Cassiopeia,Midorima,Thresh,ChoisixLoL
3999397759,lose,Ranked Solo,2021-08-04 09:26:13,28m 42s,2,7,3,0.71:1,empty,empty,Irelia,Master,empty,Fiora,kkytj,Hecarim,Felfire,Kassadin,KORASIII,Draven,TyChee,Nautilus,warcyclone,Irelia,Vase Admirer,Lee Sin,yuhhJoven,Corki,Zayno,Kai'Sa,Midorima,Maokai,Topopotamus
