gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490225467,win,Ranked Solo,2021-10-04 05:24:12,25m 41s,8,4,9,4.25:1,MVP,empty,Tryndamere,Master,empty,Irelia,Gugaz,Nunu & Willump,Squid Player 456,Tryndamere,2021Worlds0019,Draven,duye,Zilean,GNLGNL,Akali,Darlik1,Taliyah,MΑRΤ,Pantheon,2021Worlds0024,Lucian,Stille Berg,Nami,Byeongshin
5490162267,win,Ranked Solo,2021-10-04 04:51:21,18m 37s,11,5,5,3.20:1,Double Kill,empty,Yone,Master,empty,Yone,2021Worlds0019,Hecarim,Airron,Kennen,R0o2,Draven,Giant Monster,Nautilus,Nsurr1,Camille,ANB 9eetoo,Kayn,Doaenel Hecarim,Ryze,Showkz,Aphelios,QQ Pawelek6,Thresh,GNLGNL
5490103323,win,Ranked Solo,2021-10-04 04:04:54,16m 11s,6,0,4,Perfect,empty,empty,Yone,Master,empty,Fiora,Nice Guy Ben,Hecarim,MΑRΤ,Xerath,Jukester,Vayne,Moeless,Rakan,DUMAN,Wukong,GO GET IT,Nunu & Willump,PD Zapdo,Yone,2021Worlds0019,Ezreal,B99 PERALTHAR,Bard,Lil Ûzi Vert
5488670240,win,Ranked Solo,2021-10-03 10:48:54,28m 55s,7,5,3,2.00:1,empty,empty,Tryndamere,Master,empty,Yone,23iko,Ekko,otkachalka681,Tryndamere,2021Worlds0019,Lucian,SHALOM WIDZOWIE,Blitzcrank,Follow The LIDER,Sett,LittIe Trouble,Lee Sin,traphouse m,Azir,Witness Azir,Ezreal,Luntear,Bard,SheSho
5488676293,win,Ranked Solo,2021-10-03 09:56:21,24m 23s,6,7,10,2.29:1,Double Kill,empty,Yone,Master,empty,Irelia,FIX SOL0Q,Gragas,Lil Ûzi Vert,Aurelion Sol,beyond reality,Yone,2021Worlds0019,Rakan,Kasing 1,Gnar,Stumpyyy,Lee Sin,SMB Kireas,LeBlanc,ELF Valin,Ezreal,efiL,Yuumi,F tier supp
5488595667,win,Ranked Solo,2021-10-03 09:22:20,35m 53s,5,5,14,3.80:1,MVP,empty,Tryndamere,Master,empty,Fiora,Νight Drive,Fiddlesticks,EtoTudaEtoSuda,Tryndamere,2021Worlds0019,Jhin,sQûiiRReL,Leona,Màrtîn Dérèk,Urgot,LFT Dunks,Kindred,9 19 Night,Galio,mangos1,Lucian,TOPSHOTTA99,Nami,xaroula psilakhs
5488621207,win,Ranked Solo,2021-10-03 08:39:27,29m 6s,14,8,7,2.63:1,Triple Kill,MVP,Yone,Master,empty,Renekton,Shiawase,Lee Sin,Bigby WoIf,Ahri,J5 Portischen,Miss Fortune,deve rider,Amumu,Violet Markey,Gnar,Νight Drive,Nunu & Willump,Jáximus,Yone,2021Worlds0019,Ezreal,sQûiiRReL,Vel'Koz,Shinøre
5488566464,win,Ranked Solo,2021-10-03 08:02:36,28m 38s,14,2,7,10.50:1,Triple Kill,empty,LeBlanc,Master,empty,Shen,Twist,Lee Sin,LSADSDD,LeBlanc,2021Worlds0019,Kalista,StephenChe,Amumu,2021Worlds0057,Irelia,LngLng,Qiyana,SLARDAR KINGDOM,Zoe,SQCRISTIAAN,Jhin,deve rider,Karma,Suken
5488395091,lose,Ranked Solo,2021-10-03 06:32:29,31m 0s,5,10,10,1.50:1,empty,empty,Irelia,Master,empty,Gwen,ΚenT1,Viego,ΕDGJiejie,Irelia,2021Worlds0019,Aphelios,deve rider,Galio,XERSUS7,Riven,Sοlipsism,Rek'Sai,Kunisame,Viktor,eSuba WorstMidEU,Ezreal,Wolskinator,Bard,PST Ver2Ter
5488374996,win,Ranked Solo,2021-10-03 05:47:57,32m 46s,5,3,10,5.00:1,Double Kill,MVP,Irelia,Master,empty,Gnar,GSK Tixn,Zac,NE Kaihua,Irelia,2021Worlds0019,Lucian,AD723,Nami,blonde mina,Malphite,IIIlIIIlIII1,Qiyana,VLADO VAFLATTA,LeBlanc,Dvek,Vayne,Röyhkeä,Lulu,snail eater
5488277157,lose,Ranked Solo,2021-10-03 04:59:25,34m 19s,4,4,2,1.50:1,Double Kill,ACE,Orianna,Master,empty,Darius,JEWZAURUS REX,Jarvan IV,TOG SHXDXW,Cassiopeia,Zeniv     ,Lucian,deve rider,Nami,theFFM,Aatrox,Lagsw0w,Kayn,Γ     Ω     β,Orianna,2021Worlds0019,Miss Fortune,pick1,Lulu,backflip on adc
5488086331,win,Ranked Solo,2021-10-03 03:16:07,26m 1s,7,7,12,2.71:1,Double Kill,empty,Miss Fortune,Master,empty,Fiora,RokasLTU,Jarvan IV,K1BZ,Corki,Unyielding Hero,Miss Fortune,2021Worlds0019,Karma,Unlyrical,Aatrox,Araxic c Basa6u,Graves,Toujours Amour,LeBlanc,edruVenourChovy,Jinx,Mistil,Lulu,CORONA EQUALS 5G
5488080591,win,Ranked Solo,2021-10-03 02:41:57,34m 25s,12,7,2,2.00:1,empty,empty,Yone,Master,empty,Gnar,Naynahm,Ekko,knv2,Vex,Herlufsen,Yone,2021Worlds0019,Lulu,Synea,Gangplank,White Steel Eel,Kayn,Jgissoeasy,Azir,Lord Laki v2,Jhin,Regostern,Zilean,DereBeyi Yunus
