gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490209637,win,Ranked Solo,2021-10-04 05:34:56,15m 34s,4,1,8,12.00:1,empty,empty,Taliyah,Master,empty,Irelia,VNR Thomas Goh,Ekko,Monsieur Oui,Yone,BLACKMETALTERROR,Aphelios,11235,Thresh,Nezuko san,Shen,lI Werlyb Il,Taliyah,ChatDisabler97,Kassadin,Twitch Ag0nyPain,Kai'Sa,devil in details,Galio,XERSUS7
5490192416,lose,Ranked Solo,2021-10-04 05:12:00,34m 10s,2,6,32,5.67:1,Double Kill,ACE,Rakan,Master,empty,Lulu,Koenraad II,Diana,piesek dawida,Qiyana,Twitch Ag0nyPain,Lucian,xiao tang bu lei,Rakan,ChatDisabler97,Camille,dont be yikes,Gragas,Monsieur Oui,Yasuo,noobYas,Samira,Sensei Cookie x ,Galio,kaymint acc
5488926702,lose,URF,2021-10-03 19:39:22,20m 2s,16,14,11,1.93:1,Triple Kill,empty,Camille,empty,empty,Jayce,dofaminu,Camille,ChatDisabler97,Gragas,twinHACHE,Pyke,Nari Yoshi,Shaco,BouillonKube,Jinx,Fishingsausage,Ezreal,EpicCrazyDam,Morgana,GermanMüllerMilk,Jhin,oliviepi314,Warwick,Feti Feti
5488314873,win,Ranked Solo,2021-10-03 05:23:52,23m 40s,13,3,10,7.67:1,Double Kill,empty,Talon,Master,empty,Akali,Banande,Lee Sin,ositosi,Lissandra,Tziz,Ezreal,F tier supp,Lulu,Mihajlo Matic,Camille,IAimToMisbehave,Talon,ChatDisabler97,LeBlanc,1Freazy,Taliyah,CannonMinion4u,Bard,LiL TommyG
5488275556,lose,Ranked Solo,2021-10-03 04:44:40,30m 29s,9,8,5,1.75:1,empty,empty,Olaf,Master,empty,Sett,SMB Kireas,Olaf,ChatDisabler97,Rumble,Shinøre,Ziggs,KH Komandata,Thresh,XERSUS7,Camille,Seneschal,Nunu & Willump,HappyPIayer,Yone,BROHAN AND SEKKI,Xayah,Harbo,Malzahar,1014 ALYX 9SM
5488089155,lose,Ranked Solo,2021-10-03 03:36:22,25m 3s,2,4,7,2.25:1,empty,empty,Xin Zhao,Master,empty,Gwen,Stargazer7,Talon,S11Tian,Soraka,unlucky jgl gap,Tristana,Yosikomo,Alistar,Genellaunoal,Fiora,Davitzon,Xin Zhao,ChatDisabler97,Ryze,woshilqs,Lucian,League Enjoyer 1,Sona,NHWK
5488122261,win,Ranked Solo,2021-10-03 02:54:25,26m 41s,3,2,18,10.50:1,MVP,empty,Nami,Master,empty,Kennen,MeLikePanda,Nunu & Willump,Nunu,Tryndamere,lordnabos,Kai'Sa,Yosikomo,Soraka,Nafilan,Sylas,QYURRYUS1,Qiyana,DUALIPAadfhgkdgk,Twisted Fate,QKI1,Lucian,Xenxo,Nami,ChatDisabler97
5488075633,lose,Ranked Solo,2021-10-03 02:18:10,27m 52s,12,9,1,1.44:1,Triple Kill,ACE,Viego,Master,empty,Riven,PeberJack,Zed,LFT Anonymouss,LeBlanc,FFEBIVEN,Miss Fortune,Sirinöx,Amumu,niki laudaa,Camille,WolfGates,Viego,ChatDisabler97,Twisted Fate,F 4 T E,Ezreal,7B Xerxail,Yuumi,HA ΠOΔCOCE
5487968348,win,Ranked Solo,2021-10-03 01:30:40,37m 7s,7,7,11,2.57:1,empty,empty,Amumu,Master,empty,Lee Sin,VIEEGOL ESIN,Shaco,Talamasca,LeBlanc,Λ R V E N ,Ezreal,bnaduhas,Amumu,ChatDisabler97,Irelia,Invícta,Nidalee,Nathan der Weise,Sylas,Dvek,Miss Fortune,OlivierLeRoutier,Nami,LP ADDICTED
5487923872,lose,Ranked Solo,2021-10-03 00:38:15,20m 57s,3,7,4,1.00:1,empty,empty,Lee Sin,Grandmaster,empty,Vayne,Fulis wannabe,Lee Sin,ChatDisabler97,Ekko,Shadowraze,Lucian,SPOLFCEI,Yuumi,twenty one,Kled,ZONGO LE DOZØ,Talon,JG CHIEF,Zoe,Pakk,Miss Fortune,Czypsy,Nami,Canam
