gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
4041091900,lose,Ranked Solo,2021-09-13 15:54:04,27m 3s,9,3,4,4.33:1,Double Kill,ACE,Zed,Master,empty,Singed,Just A Nub IRL,Zed,HotGuy6Pack,Yone,IllIlllllIllllIl,Jinx,TEAMLUKEE,Thresh,Synotic,Sion,Kouumoto,Lee Sin,winstxn,Ekko,Ayukura,Vayne,Saware,Zilean,Tempos in LCS
4041047259,win,Ranked Solo,2021-09-13 15:14:53,29m 29s,13,4,20,8.25:1,Double Kill,MVP,Talon,Grandmaster,empty,Camille,quantumfan,Talon,HotGuy6Pack,Anivia,cantspellmidlane,Senna,Nhavilay,Blitzcrank,ChuChuZ,Singed,Just A Nub IRL,Xin Zhao,winstxn,Yasuo,Yung Mung,Ziggs,TSM Gorica,Soraka,Got them
4041025441,lose,Ranked Solo,2021-09-13 14:37:46,15m 22s,0,3,1,0.33:1,ACE,empty,Talon,Master,empty,Camille,Maldego,Kha'Zix,Dou Wu Suo Wei,Anivia,cantspellmidlane,Ezreal,Sadge adc,Bard,3uphoria,Ryze,OSU Inferno,Talon,HotGuy6Pack,Singed,Just A Pleb,Lucian,LL TRIGGER,Nautilus,Got them
4040992253,lose,Ranked Solo,2021-09-13 14:07:47,16m 24s,2,4,1,0.75:1,empty,empty,Taliyah,Grandmaster,empty,Darius,Architecture,Taliyah,HotGuy6Pack,Diana,Ayukura,Varus,dali van picass0,Leona,Got them,Qiyana,Ru Ci Bái,Zed,123dweiofjeg,Singed,concept x,Aphelios,SentientAI,Nautilus,3uphoria
4040934808,lose,Ranked Solo,2021-09-13 13:21:27,26m 12s,4,4,3,1.75:1,Double Kill,ACE,Graves,Master,empty,Shen,THE CLlMB BACK,Fiddlesticks,rdyuser13,Akali,Diabloww,Aphelios,EDG Dior,Senna,Shi Jian,Fiora,Bejjj,Graves,HotGuy6Pack,Kassadin,Renfa,Miss Fortune,ItMightBeYaBoy,Lulu,hate girl
4040666753,win,Ranked Solo,2021-09-13 08:55:18,23m 40s,7,1,16,23.00:1,MVP,empty,Lee Sin,Master,empty,Jayce,nifty jg,Lee Sin,HotGuy6Pack,Ryze,i miss you leon,Tristana,EDG Dior,Amumu,Bellow1,Camille,Straighttothetop,Graves,c2 meteos,Orianna,Joggerss,Sona,huhuanwoxingming,Galio,Special Kay
4040672523,lose,Ranked Solo,2021-09-13 08:17:24,18m 37s,3,6,2,0.83:1,ACE,empty,Lillia,Master,empty,Aatrox,ChuDong Fiorista,Rek'Sai,gyu123987,Viktor,goidwolfer fan,Aphelios,Viceera,Zac,Save You,Kled,Zahnet,Lillia,HotGuy6Pack,Twisted Fate,t d,Ezreal,ReformedRinnegan,Bard,Wounds
4040639920,win,Ranked Solo,2021-09-13 07:47:32,15m 46s,7,1,11,18.00:1,MVP,empty,Jarvan IV,Diamond 1,empty,Sett,ChuDong Fiorista,Jarvan IV,HotGuy6Pack,Twisted Fate,Titan Dweevil,Ezreal,Gio Monster,Taliyah,mn is qiggly,Nasus,meghanmarklefan1,Xin Zhao,tim x billy,Sylas,TSM Bjergsen,Caitlyn,Queen IU,Rell,Fretful Thoughts
4040579960,lose,Ranked Solo,2021-09-13 06:30:59,25m 28s,10,6,4,2.33:1,Double Kill,ACE,Lillia,Master,empty,Ornn,Sokiu,Lillia,HotGuy6Pack,Graves,Yao Bu Sheng Qi,Caitlyn,Jraff,Bard,RØY Mustang,Gnar,CloudNguyen,Kha'Zix,i miss you leon,Galio,tomeito,Aphelios,AOE ROCKBOOM,Zilean,Felauri
4040128479,lose,Ranked Solo,2021-09-12 15:52:52,18m 41s,2,3,4,2.00:1,ACE,empty,Graves,Master,empty,Irelia,Cool Crabbie,Graves,HotGuy6Pack,Lissandra,Dua Lissa NYC,Draven,tomeito,Lux,bardovich69,Tahm Kench,aknid,Shyvana,TOXICCLOUTCHASER,Orianna,riversided,Miss Fortune,TSM Gorica,Thresh,ChuChuZ
4040075098,win,Ranked Solo,2021-09-12 15:27:38,28m 23s,11,5,14,5.00:1,Double Kill,MVP,Ekko,Master,empty,Singed,wx   nadp0910,Ekko,HotGuy6Pack,Pyke,Az0g,Jinx,Shi Jian,Braum,ChuChuZ,Irelia,Cozy Milli,Kha'Zix,trdblaster,Kennen,Lumiñous,Miss Fortune,Disconnector,Nautilus,Kurulean
4040028162,win,Ranked Solo,2021-09-12 14:40:52,33m 19s,10,6,24,5.67:1,Double Kill,MVP,Jarvan IV,Master,empty,Fiora,kkytj,Jarvan IV,HotGuy6Pack,Corki,tomeito,Vayne,Shi Jian,Soraka,Gay Conservative,Rengar,rengar is good,Evelynn,NIGHTMARE JG,Azir,Sasha xo,Caitlyn,Sum,Karma,Almighty
4040012042,win,Ranked Solo,2021-09-12 13:56:19,30m 34s,5,4,5,2.50:1,Triple Kill,MVP,Taliyah,Master,empty,Gangplank,TIGEREYES,Lee Sin,Tsao3 ni2 ma3,Orianna,Différentielle,Jinx,Shi Jian,Thresh,Reach5,Singed,wx   nadp0910,Taliyah,HotGuy6Pack,Heimerdinger,Slyther6,Vayne,tomeito,Lulu,hate girl
4039936852,lose,Ranked Solo,2021-09-12 13:15:49,23m 43s,3,7,8,1.57:1,ACE,empty,Talon,Master,empty,Shen,Falling,Jarvan IV,lIllIIIllIlIlI,Azir,riversided,Draven,Furyhorn,Nami,oyuna,Urgot,Neo Restoration,Talon,HotGuy6Pack,Lissandra,goidwolfer fan,Ziggs,LastDanceDF,Yuumi,duo bigfat
4039798650,lose,Ranked Solo,2021-09-12 11:16:01,21m 2s,6,1,4,10.00:1,ACE,empty,Lee Sin,Diamond 1,empty,Malphite,1ove Are,Lee Sin,HotGuy6Pack,Master Yi,SatrieGno1,Ziggs,Jeune Du 18,Rell,Simiy15,Sylas,zzwyw,Qiyana,With Zoe,Zed,Fight me homie,Draven,Muslim Salesman,Pyke,WX ORAL SEX
4039794479,win,Ranked Solo,2021-09-12 10:46:56,21m 47s,9,3,8,5.67:1,Triple Kill,MVP,Lee Sin,Master,empty,Fiora,DippyDan,Kha'Zix,Kufá,Heimerdinger,Sakura PaiPai,Aphelios,1902384,Lulu,1ove Are,Yasuo,llllllllllllIIll,Lee Sin,HotGuy6Pack,Kassadin,Demon Korasiii,Draven,Tomo9,Alistar,Yesterkan
