gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
4026050398,lose,Ranked Solo,2021-08-29 12:30:39,20m 57s,5,8,2,0.88:1,ACE,empty,Tristana,Grandmaster,empty,Darius,naejunhaogu,Fiddlesticks,Bhola,Irelia,IllIlllllIllllIl,Tristana,TL Tactical,Nautilus,Davemon,Kled,Swip3rR DISCIPLE,Olaf,andabb,LeBlanc,Shower D0G,Ezreal,Good Boi,Alistar,zhong guo5
4025183122,win,Ranked Solo,2021-08-28 14:03:17,31m 39s,6,5,8,2.80:1,Double Kill,MVP,Jayce,Grandmaster,empty,Gwen,Scenari0,Kindred,Kłaus,Galio,RobbyBob,Aphelios,EDG Minui,Karma,Buffing,Jayce,TL Tactical,Master Yi,rengar is good,LeBlanc,Cozy Milli,Senna,Vìvy,Rakan,Oh ill Nam
4025145026,lose,Ranked Solo,2021-08-28 13:06:07,26m 33s,4,6,11,2.50:1,ACE,empty,Ashe,Grandmaster,empty,Teemo,Yung Fappy,Kindred,no invade pls,Graves,DeadGemini,Varus,Good Boi,Morgana,TSM Donbray,Akali,Diabloww,Lee Sin,blaberfish2,Ekko,sleepy mouse,Ashe,TL Tactical,Leona,PATH TO TOP
4025098084,lose,Ranked Solo,2021-08-28 12:20:45,23m 7s,6,9,2,0.89:1,empty,empty,Ziggs,Grandmaster,empty,Gnar,PSG MESSI,Lee Sin,huhi,Tristana,Lugerr,Ziggs,TL Tactical,Leona,Serotonin Chaser,Malphite,Good Boi,Trundle,blaberfish2,Ryze,Saurabh kumar,Draven,TTV Chad Draven,Sett,mla3
4025093858,lose,Ranked Solo,2021-08-28 11:45:41,17m 18s,4,5,2,1.20:1,ACE,empty,Lee Sin,Grandmaster,empty,Tahm Kench,PSG MESSI,Lee Sin,TL Tactical,Ekko,Scyrnn,Ziggs,Jemusi,Shen,huhi,Jayce,TheRealPhilip,Nidalee,Kłaus,Annie,Serotonin Chaser,Ezreal,Good Boi,Zilean,Tempos
4024003076,lose,Ranked Solo,2021-08-27 12:38:25,19m 58s,0,3,8,2.67:1,ACE,empty,Ashe,Challenger,empty,Orianna,Thinkcards son,Lee Sin,c2 meteos,Kennen,TL Jenkins,Ezreal,Good Boi,Trundle,IMT Destiny,Riven,Tiger and Fish,Ekko,Sheiden2,Irelia,bradleyyy,Ashe,TL Tactical,Seraphine,FLY Diamond
4017760870,lose,Ranked Solo,2021-08-21 15:11:04,29m 0s,6,6,9,2.50:1,empty,empty,Ziggs,Grandmaster,empty,Wukong,Airflash,Kayn,DeadGemini,Aurelion Sol,Went,Kalista,jojopyun 16,Trundle,ACKÈRMAN,Camille,TwoVital,Rengar,c2 meteos,Lucian,Strompest,Ziggs,TL Tactical,Veigar,chillfish
4017685210,lose,Ranked Solo,2021-08-21 14:33:58,31m 31s,5,6,5,1.67:1,Double Kill,empty,Tristana,Grandmaster,empty,Gangplank,tenacityyy,Graves,c2 meteos,Ryze,TSM FTX Poewned,Syndra,DÑA,Pantheon,TSMFTX SwordArt7,Camille,TwoVital,Lee Sin,ACKÈRMAN,Orianna,jojopyun 16,Tristana,TL Tactical,Lulu,9ydras
4015951690,win,Ranked Solo,2021-08-19 15:22:03,34m 8s,5,7,14,2.71:1,MVP,empty,Varus,Grandmaster,empty,Wukong,Airflash,Lee Sin,JungIe is weak,LeBlanc,Seranok,Varus,TL Tactical,Thresh,EDG Jan Sali,Gnar,PSG MESSI,Nocturne,KingClueless,Fizz,TwoVital,Aphelios,stebb12345,Trundle,From Rank1
4015369435,win,Ranked Solo,2021-08-19 10:31:39,32m 39s,8,5,9,3.40:1,empty,empty,Jhin,Grandmaster,empty,Yone,Nemesis9,Nocturne,charity,Ryze,smart play,Jhin,TL Tactical,Pyke,WX BOOTY FLEX,Camille,Cyanosis,Nidalee,Calm Antebellum,Lucian,TheOddOrange,Kalista,warcyclone,Nautilus,Pockus
