gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
4041082401,win,ARAM,2021-09-13 15:48:20,18m 46s,22,7,20,6.00:1,Triple Kill,empty,Jayce,empty,empty,Graves,Baller Otter,Rumble,Jeff7842,Cassiopeia,GrandPrawn6,Orianna,Reverse Scale,Kha'Zix,Skyward Pride,Sivir,Delori,Sona,Harmonics,Jarvan IV,coldcoldcoldcold,Jayce,Tactical,Blitzcrank,EXLTRIKZ
4041038527,win,ARAM,2021-09-13 15:13:49,22m 46s,37,11,24,5.55:1,Quadra Kill,empty,Graves,empty,empty,Xerath,eatassJoelOsteen,Ahri,jessÿ,Dr. Mundo,philimix,Gwen,Taxi Driver,Graves,Tactical,Lee Sin,Uncle Dielan,Katarina,PLZCALLMETIGER,Lillia,hi im void,Yasuo,Sao Eiji,Taliyah,Koarth
4041026029,win,ARAM,2021-09-13 14:45:59,20m 28s,22,6,30,8.67:1,Triple Kill,empty,Azir,empty,empty,Syndra,eatassJoelOsteen,Orianna,jessÿ,Blitzcrank,philimix,Samira,Taxi Driver,Azir,Tactical,Graves,Biorhythm,Riven,Gapp,Malphite,Relaxo,Cho'Gath,Chardunkathudd,Varus,Snowo
4041003120,win,ARAM,2021-09-13 14:20:49,24m 24s,8,15,21,1.93:1,empty,empty,Renekton,empty,empty,Jax,Fofpoi,Sett,Stealth Hussy,Nami,dkade,Orianna,Zenoth,Jhin,PuppySquisher,Diana,jessÿ,Veigar,Taxi Driver,Renekton,Tactical,Twisted Fate,mourns,Janna,thelittlejoe
4040167609,lose,ARAM,2021-09-12 17:25:30,18m 29s,9,7,17,3.71:1,empty,empty,Gragas,empty,empty,Gragas,Tactical,Lux,dellzor,Samira,Breezyyy,Xayah,yvonnie,Yone,Heat Waves,LeBlanc,Dodor0,Jarvan IV,Vandios,Azir,Eunhasoo,Akshan,Le Reflex,Qiyana,Le Sero
4040165381,win,ARAM,2021-09-12 17:02:50,24m 51s,21,13,24,3.46:1,Double Kill,empty,Graves,empty,empty,Fizz,VartinLutherKing,Graves,Tactical,Orianna,Breezyyy,Rakan,yvonnie,Pantheon,ricewest,Wukong,AMBUSH6969696969,Veigar,Hide1nKitchen,Lillia,Freyababy,Ziggs,Lorde of Lag,Jayce,Heat Waves
4040097451,lose,Ranked Solo,2021-09-12 15:53:18,33m 24s,8,9,10,2.00:1,Double Kill,ACE,Lee Sin,Grandmaster,empty,Sett,wff011,Lee Sin,Tactical,Soraka,Nanners owo,Malphite,DippyDan,Yuumi,EDG Jan Sali,Sylas,MajesticPony17,Xin Zhao,no invade pls,Teemo,Yung Fappy,Ezreal,HaaaZe,Anivia,Søxo
4040009533,lose,Ranked Solo,2021-09-12 14:43:31,26m 41s,13,9,3,1.78:1,Double Kill,ACE,Lee Sin,Grandmaster,empty,Singed,wx   nadp0910,Ekko,PG Ace,Yasuo,Spin,Lucian,stebb12345,Rakan,QAZx,Poppy,XxwoozerxX,Lee Sin,Tactical,Ryze,Cool Crabbie,Ezreal,TSM Gorica,Amumu,ChuChuZ
4040002038,lose,Ranked Solo,2021-09-12 14:02:23,35m 48s,6,7,15,3.00:1,Double Kill,ACE,Lee Sin,Grandmaster,empty,Sett,wff011,Hecarim,bye im gosu,Orianna,iybc9o2 q,Kai'Sa,PATH TO TOP,Nautilus,QAZx,Gangplank,Solarbacca,Lee Sin,Tactical,Ryze,eat xiaofeiya2,Ezreal,juststopcaring,Braum,Yesterkan
4039773229,win,Ranked Solo,2021-09-12 10:35:02,20m 55s,0,2,10,5.00:1,empty,empty,Leona,Grandmaster,empty,Sylas,100 Instinct,Lee Sin,TheOddOrange,Nunu & Willump,Nulnul,Lucian,Yura1,Yuumi,enryu,Kennen,Lumiñous,Xin Zhao,Bury The Past,Graves,zhong guo1,Jhin,Nhavilay,Leona,Tactical
4039567530,win,Ranked Solo,2021-09-12 10:01:54,30m 24s,10,8,14,3.00:1,empty,empty,Miss Fortune,Grandmaster,empty,Irelia,DippyDan,Taliyah,bye im gosu,Yone,IllIlllllIllllIl,Draven,Yura1,Gragas,Oh ill Nam,Kennen,Lumiñous,Viego,LeenK LCS,Qiyana,are you minë,Miss Fortune,Tactical,Morgana,My name07
4039437695,win,Ranked Solo,2021-09-12 08:35:56,27m 46s,5,8,8,1.63:1,empty,empty,Camille,Grandmaster,empty,Aatrox,coppersan,Xin Zhao,bury your past,Anivia,Søxo,Aphelios,CC Shogo,Sona,IllIlllllIllllIl,Camille,Tactical,Ivern,jamican banana,Vladimir,Burento,Kai'Sa,Prototype white,Rakan,Tempos
4039373028,lose,Ranked Solo,2021-09-12 07:51:44,34m 32s,13,7,5,2.57:1,Triple Kill,ACE,Aphelios,Grandmaster,empty,Kled,CaptBear,Kindred,AllGirlsRTheSame,Ekko,Burento,Draven,TyChee,Braum,Do U Remember,Gnar,roguebunny0,Nidalee,TheOddOrange,Yone,Nemesis9,Aphelios,Tactical,Thresh,Got them
4039308760,win,Ranked Solo,2021-09-12 07:07:07,28m 48s,8,4,8,4.00:1,Double Kill,empty,Aphelios,Grandmaster,empty,Sett,BoilThe0il,Nidalee,TheOddOrange,Sylas,iloveyou1234,Kai'Sa,Prototype white,Leona,ChuChuZ,Wukong,roguebunny0,Lee Sin,JungIe is weak,Ekko,Burento,Aphelios,Tactical,Thresh,Mataz
4038881577,lose,Ranked Solo,2021-09-11 15:29:16,30m 12s,5,4,3,2.00:1,empty,empty,Camille,Grandmaster,empty,Poppy,Swip3rR DISCIPLE,Lee Sin,Sheiden1,Karma,Winston4,Xayah,Abedz,Zilean,Tempos,Camille,Tactical,Kha'Zix,Dime,Orianna,TSMFTX Lost,Draven,Saware,Thresh,PIux
4038815926,lose,Ranked Solo,2021-09-11 14:40:37,25m 0s,4,12,6,0.83:1,empty,empty,Draven,Grandmaster,empty,Trundle,Swip3rR DISCIPLE,Xin Zhao,C9 eXyu,Sylas,insanityxd,Zilean,Busio3,Sona,Tomo9,Ornn,Youngjin Noh,Zed,Josedeodo123,Qiyana,Johnny Fast TV,Draven,Tactical,Nautilus,stebb12345
4038811378,lose,Ranked Solo,2021-09-11 14:09:03,25m 35s,2,7,9,1.57:1,empty,empty,Lucian,Grandmaster,empty,Gragas,PSG MESSI,Lillia,TL Armao,Talon,jerrycarry1111,Aphelios,EvanRL,Thresh,rocks908,Teemo,Yung Fappy,Graves,bye im gosu,Ekko,black player,Lucian,Tactical,Braum,Winston4
4038762095,win,Ranked Solo,2021-09-11 13:00:29,16m 24s,5,2,2,3.50:1,Double Kill,MVP,Lucian,Grandmaster,empty,Lucian,Tactical,Lee Sin,Delete All,Kassadin,Kacha,Kog'Maw,CC Shogo,Rakan,1234hitdinosaur,Jayce,Dhokla,Rengar,Wxx REB20201,Xerath,insanityxd,Jhin,karasuno setter,Karma,Yesterkan
4038005611,win,Ranked Solo,2021-09-10 14:01:04,18m 27s,5,6,5,1.67:1,empty,empty,Ezreal,Grandmaster,empty,Jayce,neukda3,Zed,nifty jg,Cassiopeia,Dark Wingdom,Draven,HappyBeePlayer,Pyke,ACKÈRMAN,Camille,Cozy Shroud,Rengar,Wxx REB20201,Kassadin,Demon Korasiii,Ezreal,Tactical,Zilean,Busio3
4037826547,lose,ARAM,2021-09-10 10:38:43,27m 20s,26,14,12,2.71:1,Triple Kill,empty,Fiora,empty,empty,Sylas,xSpiritBlossomx,Jhin,Shiro no Hikari,Twisted Fate,ÐayStar,Sivir,xdR4gOnSL4yErx99,Varus,Tweekers,Brand,terice1,Ezreal,Jerry Sionfeld,Vel'Koz,Sleeping Hero,Fiora,Tactical,Blitzcrank,Yaltz
