gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490370275,win,Ranked Solo,2021-10-04 08:21:06,27m 6s,19,5,9,5.60:1,Quadra Kill,MVP,Kalista,Master,empty,Jax,5454545454,Ekko,2021Worlds,Irelia,ECkz,Kalista,UnstoppableForce,Amumu,LDNU Nyzah,Camille,chance no exist,Zed,NavikrozaR,Orianna,fastFF,Ziggs,Lari,Anivia,Yami Sukehiro
5490219941,lose,Ranked Solo,2021-10-04 05:50:41,26m 47s,13,11,9,2.00:1,Triple Kill,ACE,Ezreal,Grandmaster,empty,Yasuo,L9 SUSSY BAKA,Ekko,OnerKING,Ryze,Chφvy,Lucian,Cutepatootie,Yuumi,Roulette,Jarvan IV,PatkicaA,Taliyah,bobber kong,Yone,noobYas,Ezreal,UnstoppableForce,Nami,marlοn
5490222059,lose,Ranked Solo,2021-10-04 05:08:01,28m 4s,6,9,9,1.67:1,empty,empty,Miss Fortune,Grandmaster,empty,Tryndamere,FrozenHuntsman,Nidalee,HRN Joinze,Vex,phlaty,Miss Fortune,UnstoppableForce,Lux,WatchMyPuppets,Kayn,tiltproof acc XD,Talon,Raiden Shogun C2,Katarina,TwTv Ronges1,Soraka,srysry,Senna,HoIyPhoenîx
5489571438,win,Ranked Solo,2021-10-04 01:02:01,25m 9s,16,3,10,8.67:1,Double Kill,MVP,Jhin,Grandmaster,empty,Jayce,papi oscαr,Evelynn,Charlie Heaton,Akali,Mid bad COPIUM,Miss Fortune,matiaslaclasse,Nami,SPEEDOBEAR,Irelia,ég jojopyun,Nidalee,ill be noticed,Kennen,Ragnér1,Jhin,UnstoppableForce,Nautilus,Gilius2
5488517872,win,Ranked Solo,2021-10-03 07:50:16,15m 48s,5,0,4,Perfect,MVP,empty,Ezreal,Grandmaster,empty,Mordekaiser,IAimToMisbehave,Zed,NattyNatt,Kassadin,Teą,Miss Fortune,the super noob,Sona,LVG White Lotus,Gwen,ANB 9eetoo,Lee Sin,woshidoinb,Sylas,UMBBBBBBBBBBB,Ezreal,UnstoppableForce,Karma,Frank Horrigan
5488513025,lose,Ranked Solo,2021-10-03 07:27:01,28m 55s,3,6,2,0.83:1,empty,empty,Twitch,Grandmaster,empty,Aatrox,Wufo,Kha'Zix,Tanu,Sylas,Mοrdred,Kog'Maw,TheLegendOfMagic,Sona,Qnoxs,Tryndamere,slowq9zb,Jarvan IV,Tu po zi wo,Rengar,7zx,Twitch,UnstoppableForce,Lulu,HAHHAHAHAHAXXDDD
5488461866,win,Ranked Solo,2021-10-03 06:13:49,21m 16s,2,4,6,2.00:1,empty,empty,Twitch,Grandmaster,empty,Lee Sin,H ι r o,Hecarim,UOL Cryptodir,Tryndamere,Tu po zi wo,Twitch,UnstoppableForce,Yuumi,lolNash,Aatrox,Gaëthan1,Xin Zhao,asdfghjklqwe,Ryze,GS Bolulu,Kalista,HoIyPhoenîx,Rakan,NanamiHakuya
5488366271,lose,Ranked Solo,2021-10-03 05:40:15,22m 34s,0,8,3,0.38:1,empty,empty,Xayah,Grandmaster,empty,Garen,H ι r o,Kindred,nap ability,Zoe,GS Bolulu,Xayah,UnstoppableForce,Karma,SPEEDOBEAR,Camille,7zx,Diana,Fαllεn,Yasuo,ég jojopyun,Miss Fortune,LDLC Gumayusi,Yuumi,lolNash
5488301562,win,Ranked Solo,2021-10-03 05:04:11,25m 15s,3,1,4,7.00:1,Double Kill,empty,Vayne,Master,empty,Vladimir,Smooth Guy,Hecarim,Doaenel Hecarim,Syndra,GSK Tixn,Draven,Abdu Roz1k ,Rakan,snail eater,Jayce,LNGLNGLNG,Jarvan IV,J3kko,Vel'Koz,Azzapp,Vayne,UnstoppableForce,Lulu,wowx
5488175419,win,Ranked Solo,2021-10-03 03:18:39,15m 21s,5,0,2,Perfect,empty,empty,Miss Fortune,Grandmaster,empty,Nasus,iLL F13RC3 ,Nidalee,ég jojopyun,Kennen,Akrowz,Lucian,LDLC Gumayusi,Nami,godzaimeris,Xerath,nap ability,Lee Sin,gaengsin,Teemo,Alan234,Miss Fortune,UnstoppableForce,Leona,soloqwarrior1
5488034079,win,Ranked Solo,2021-10-03 01:49:54,19m 40s,5,3,7,4.00:1,Triple Kill,MVP,Lucian,Grandmaster,empty,Fiora,chance no exist,Zed,Cinkrofffffffff,Malzahar,SL0WDEATH,Vayne,twrapamemonopanw,Braum,NanamiHakuya,Aatrox,SołdSoulForLp,Kha'Zix,Tanu,Ziggs,Smooth Guy,Lucian,UnstoppableForce,Taric,WiIIyrex Fanboy
5487887897,win,Ranked Solo,2021-10-03 01:01:43,24m 30s,20,3,3,7.67:1,Double Kill,MVP,Draven,Grandmaster,empty,Aatrox,SołdSoulForLp,Ekko,GW Stormax,Zed,Smooth Guy,Ezreal,DWG KIA AD,Amumu,Chouineur 1,Gragas,Suirotas,Nidalee,khanzir slayer,Tryndamere,Sebeks,Draven,UnstoppableForce,Thresh,Damgos
5487568792,win,Ranked Solo,2021-10-02 20:15:56,25m 4s,7,3,12,6.33:1,Double Kill,MVP,Ezreal,Grandmaster,empty,Irelia,FIX SOL0Q,Nidalee,Markoon,Tryndamere,Einard,Ezreal,UnstoppableForce,Yuumi,EL BARDOOOO,Shen,SLY Eyliph,Hecarim,Ye Xiu1,Orianna,T0XEC,Xayah,TakeSet sama,Rakan,skain24
5486400392,win,Ranked Solo,2021-10-02 03:55:47,30m 27s,2,2,8,5.00:1,MVP,empty,Ezreal,Grandmaster,empty,Jayce,IAimToMisbehave,Graves,kanaaa,Sylas,XOURA1,Ezreal,UnstoppableForce,Bard,JustînTime,Camille,koprtop,Viego,best viego ever,Zoe,SAe Relative,Jhin,hiro3,Karma,DEVN
5486434569,lose,Ranked Solo,2021-10-02 03:12:48,20m 34s,8,8,4,1.50:1,Double Kill,ACE,Samira,Grandmaster,empty,Renekton,Ragnér1,Elise,NiuNai,Qiyana,TC Hú Táo,Karthus,twtchtvELOSANTA,Bard,SPEEDOBEAR,Shen,SMB NuQ,Ekko,ismaaa,Ziggs,2021Worlds0044,Samira,UnstoppableForce,Amumu,Chouineur 1
5486298349,lose,Ranked Solo,2021-10-02 02:42:19,36m 10s,13,7,10,3.29:1,Double Kill,ACE,Jhin,Grandmaster,empty,Zed,420WeabooSlayer,Jarvan IV,Sawyor,Taliyah,Odysseus131,Karthus,twtchtvELOSANTA,Rakan,lolNash,Sion,SMB NuQ,Lee Sin,Temporal Warden,Xerath,Chouineur 1,Jhin,UnstoppableForce,Pyke,UOL Doedalo
5486230999,win,Ranked Solo,2021-10-02 01:46:22,45m 10s,13,8,15,3.50:1,Double Kill,empty,Ziggs,Grandmaster,empty,Yone,MajorAlexander1,Nidalee,Expecto Patrounm,Qiyana,Xi Jinping 1v9,Ziggs,UnstoppableForce,Leona,Undercover CraB,Fiora,Invícta,Talon,Maxlore,Annie,Tanu,Ezreal,lucker3,Yuumi,Mike Wazοwski
5486165005,lose,Ranked Solo,2021-10-02 00:51:52,28m 27s,9,6,5,2.33:1,Double Kill,ACE,Lucian,Grandmaster,empty,Darius,WAO RANK 1 ,Viego,AØH,Twisted Fate,Mood rings,Lucian,UnstoppableForce,Nami,Qnoxs,Jayce,dofaminu,Jarvan IV,VGIA 113,Zed,420WeabooSlayer,Ziggs,2021WorldsOp3N,Leona,enjawve
5485979345,win,Ranked Solo,2021-10-01 22:33:29,15m 31s,1,0,6,Perfect,empty,empty,Ziggs,Grandmaster,empty,Shen,Shending el HP,Xin Zhao,asdfghjklqwe,Renekton,Eyhro,Karthus,mihaitzaboss,Amumu,Hantera1,Sett,sajatoruu,Zed,bobber kong,Warwick,Tokz,Ziggs,UnstoppableForce,Bard,TraYtoN
5485585926,win,Ranked Solo,2021-10-01 08:46:16,26m 31s,4,10,7,1.10:1,Double Kill,empty,Lucian,Grandmaster,empty,Poppy,Poppuszka,Evelynn,Œµß,Yone,SAKEN1,Lucian,UnstoppableForce,Nami,soloqwarrior1,Aatrox,wakeuptoreaIity,Xin Zhao,ismaaa,Katarina,twtv NyroLoL,Miss Fortune,C9 ZVENNN,Leona,NanamiHakuya
5482996469,win,Ranked Solo,2021-09-29 20:54:21,30m 18s,8,2,8,8.00:1,MVP,empty,Ezreal,Grandmaster,empty,Ryze,GS Bolulu,Nidalee,Loumuis,Riven,KIA MVP,Ezreal,UnstoppableForce,Yuumi,UOL Doedalo,Jarvan IV,PatkicaA,Kindred,Shinzouku,Kassadin,ZWYRØØ,Vayne,Frappii Jabami,Tahm Kench,GK Mishal
5483011288,win,Ranked Solo,2021-09-29 20:05:10,37m 12s,9,7,9,2.57:1,empty,empty,Kog'Maw,Grandmaster,empty,Darius,Ugglaann,Kha'Zix,KLOSHARS40FIRMI,Seraphine,ifollowthebeat,Lucian,gdgd,Leona,blonde mina,Jayce,Raven2,Gragas,bobber kong,Tryndamere,SKT MAG7,Kog'Maw,UnstoppableForce,Nami,Fabrik Linus 
5482518194,win,Ranked Solo,2021-09-29 06:38:32,30m 46s,10,5,9,3.80:1,Double Kill,MVP,Miss Fortune,Grandmaster,empty,Singed,SlNGED,Zed,Maxlore,LeBlanc,CG Nio,Jhin,Please try hard,Amumu,livelyfish5,Gwen,JBL ABUSER,Graves,SAKEN1,Akali,nukëduck,Miss Fortune,UnstoppableForce,Braum,TESLA OPTIMUS
5482502499,win,Ranked Solo,2021-09-29 05:59:35,29m 9s,10,4,6,4.00:1,Double Kill,MVP,Miss Fortune,Grandmaster,empty,Kayn,tiltproof acc XD,Kha'Zix,NVD Flufo,Kennen,ZONGO LE DOZØ,Ezreal,ToasterM8,Bard,Targamas,Gangplank,JBL ABUSER,Talon,WO DIUUUUUUUUU,LeBlanc,nukëduck,Miss Fortune,UnstoppableForce,Rakan,Rückendeckung
5482405789,win,Ranked Solo,2021-09-29 05:16:37,25m 27s,2,5,13,3.00:1,empty,empty,Ezreal,Grandmaster,empty,Shen,dont be yikes,Rammus,BR Lord Semi,Sett,squan,Miss Fortune,ToasterM8,Janna,Weakside Zzzzzzz,Wukong,MARCEL9,Shaco,Desperate Shaco,Ryze,sajatoruu,Ezreal,UnstoppableForce,Xerath,židovskej cigan
5482360985,win,Ranked Solo,2021-09-29 04:40:36,20m 59s,5,0,3,Perfect,empty,empty,Caitlyn,Grandmaster,empty,Gnar,KURU DUT,Jarvan IV,SGE SevenArmy,Kassadin,Rank1 Macro,Katarina,twtv NyroLoL,Braum,Hatrixx,LeBlanc,aléc,Lee Sin,Temporal Warden,Fiora,Tokz,Caitlyn,UnstoppableForce,Bard,Whiteakitout
5482355580,lose,Ranked Solo,2021-09-29 04:14:10,17m 10s,0,4,4,1.00:1,ACE,empty,Miss Fortune,Grandmaster,empty,Irelia,kaymint acc,Nidalee,HRN Joinze,Yone,S04 Broken Blade,Miss Fortune,UnstoppableForce,Amumu,PIYCRIGY,Tryndamere,suusuppuun,Lee Sin,Foutriquet,Syndra,Einard,Sivir,DWG KIA AD,Yuumi,Christian Lenz
5481694354,lose,Ranked Solo,2021-09-28 20:06:59,29m 18s,2,10,11,1.30:1,empty,empty,Alistar,Grandmaster,empty,Sett,ACD,Taliyah,HRN Joinze,Pantheon,phlaty,Kai'Sa,Supaaa,Alistar,UnstoppableForce,Aatrox,cursed property,Kayn,Envy Carry,Akali,maybe f keys ,Ezreal,Dannny,Yuumi,Undercover CameL
5481368114,win,Ranked Solo,2021-09-28 09:13:14,26m 9s,13,4,7,5.00:1,Double Kill,empty,Aphelios,Grandmaster,empty,Gangplank,XLeQu,Qiyana,bobber kong,Ekko,Envy Carry,Karthus,Sαn,Blitzcrank,IlIlIlIlIllIlIl,Sett,Kiooo,Zed,Maxlore,Aurelion Sol,20 piece nugget,Aphelios,UnstoppableForce,Braum,CG Nio
5481434440,win,Ranked Solo,2021-09-28 08:28:34,17m 24s,7,3,12,6.33:1,Double Kill,empty,Draven,Grandmaster,empty,Sylas,Oggman,Taliyah,better bot win1,Pantheon,JingleDingle,Draven,UnstoppableForce,Leona,CG Nio,Aatrox,masked gamer XD,Xin Zhao,VGIA 113,Kassadin,Chamana1,Lucian,mol4at doma,Yuumi,Undercover CameL
5481392209,lose,Ranked Solo,2021-09-28 08:04:55,22m 29s,4,8,2,0.75:1,empty,empty,Jinx,Grandmaster,empty,Irelia,masked gamer XD,Lee Sin,BloodBornVlad,Vex,Chamana1,Jinx,UnstoppableForce,Alistar,better bot win1,Sylas,Oggman,Jarvan IV,Fαllεn,Syndra,CS Big Boss,Draven,kjhggdfs,Amumu,brKm
5481357943,lose,Ranked Solo,2021-09-28 07:30:42,22m 7s,1,5,3,0.80:1,empty,empty,Jhin,Grandmaster,empty,Poppy,natural valium,Olaf,Ütani Gran Hur,Sylas,jackisek,Jhin,UnstoppableForce,Nami,LIMIT12345,Aatrox,TwTv Naayil ,Lee Sin,bobber kong,Azir,serin1,Lucian,purelove4,Yuumi,Rückendeckung
5481331985,win,Ranked Solo,2021-09-28 06:50:01,28m 4s,1,5,13,2.80:1,empty,empty,Leona,Grandmaster,empty,Irelia,C9 Fudge Factor,Ivern,Morfariusss,Yone,jackisek,Ziggs,the super noob,Rakan,brKm,Shen,dont be yikes,Qiyana,viego abuser1,Sylas,CS Big Boss,Tristana,Fish Feces,Leona,UnstoppableForce
5481245820,lose,Ranked Solo,2021-09-28 06:11:55,28m 4s,5,5,6,2.20:1,empty,empty,Xayah,Grandmaster,empty,Fiora,Tokz,Evelynn,Splash 001,Zed,TwTv iljimaeLoL,Ezreal,lucker3,Bard,LiL TommyG,Aatrox,dofaminu,Kayn,Lοvelorn,Sylas,Oggman,Xayah,UnstoppableForce,Karma,hiro3
