gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490430163,lose,Ranked Solo,2021-10-04 08:35:02,24m 43s,6,7,4,1.43:1,ACE,empty,Olaf,Grandmaster,empty,Sett,Xiaobylenz,Olaf,better bot win1,Anivia,Chemera,Seraphine,UOL Doedalo,Bard,LiL TommyG,Irelia,dofaminu,Rammus,BR Lord Semi,Sylas,ég jojopyun,Jhin,nrmn,Rakan,Nash2
5490436052,lose,Ranked Solo,2021-10-04 08:03:03,29m 25s,14,7,11,3.57:1,Double Kill,empty,Qiyana,Grandmaster,empty,Trundle,FrozenHuntsman,Graves,357159,Ekko,HHNeverLucky v2,Kalista,Kieran Tierney,Amumu,CG Nio,Pantheon,Wufo,Qiyana,better bot win1,Sylas,ég jojopyun,Lucian,Kaor1,Nami,F P Journe
5490393537,lose,Ranked Solo,2021-10-04 07:23:59,29m 27s,9,10,7,1.60:1,empty,empty,Qiyana,Grandmaster,empty,Gangplank,Gaëthan1,Qiyana,better bot win1,Orianna,fastFF,Ezreal,hiro3,Karma,Frank Horrigan,Fiora,KURU DUT,Lee Sin,Whiteakitout,Sylas,Jasοn Bourne,Tristana,SAUCE WALKA,Leona,F P Journe
5490269064,win,Ranked Solo,2021-10-04 06:40:36,27m 24s,6,4,6,3.00:1,empty,empty,Sylas,Grandmaster,empty,Aatrox,Gaëthan1,Lee Sin,VGIA 113,Sylas,better bot win1,Lucian,EDG Innaxe,Rakan,Rückendeckung,Jayce,Xiaobylenz,Taliyah,asdfghjklqwe,Ekko,HHNeverLucky v2,Varus,SAUCE WALKA,Amumu,Veignorem
5490244653,win,Ranked Solo,2021-10-04 06:03:13,23m 40s,18,3,13,10.33:1,Double Kill,MVP,Qiyana,Grandmaster,empty,Irelia,Xiaobylenz,Zac,A41G Blank,Malzahar,balagan,Lucian,EDG Innaxe,Nami,FGG,Sett,JBL ABUSER,Qiyana,better bot win1,Anivia,nakreB v2,Varus,gr8erthanscripts,Rell,TESLA OPTIMUS
5490203425,win,Ranked Solo,2021-10-04 05:21:43,38m 25s,18,4,7,6.25:1,Double Kill,MVP,Gragas,Master,empty,Gnar,NOV4 FreeParking,Gragas,better bot win1,Renekton,jarda jagr,Jinx,NOX ilyy,Thresh,Damgos,Jayce,dofaminu,Kindred,Pathetic Matrix,Sylas,Tommy944,Ezreal,Lil Ûzi Vert,Janna,ur nans in a jar
5490137216,win,Ranked Solo,2021-10-04 04:34:15,16m 2s,8,0,4,Perfect,Double Kill,empty,Qiyana,Master,empty,Gwen,Raven2,Qiyana,better bot win1,Anivia,NOV4 FreeParking,Miss Fortune,kcvawsreiuyopdgz,Seraphine,Ambiguously,Sett,Nillee,Ivern,CRIPPLED JGLXD,Ryze,RGE Larssεn,Lucian,ToasterM8,Nami,ur nans in a jar
5488570237,win,Ranked Solo,2021-10-03 08:25:54,18m 55s,11,2,11,11.00:1,Triple Kill,empty,Nidalee,Grandmaster,empty,Sett,Suirotas,Nidalee,better bot win1,Graves,nukëduck,Aphelios,laozitianye,Rell,TESLA OPTIMUS,Gwen,lennylennylenny,Viego,VGIA 113,Nasus,styropianzserem,Lucian,bean3,Yuumi,Undercover CameL
5488525086,win,Ranked Solo,2021-10-03 07:48:02,30m 55s,8,3,14,7.33:1,Double Kill,empty,Poppy,Grandmaster,empty,Darius,H ι r o,Lee Sin,ImJony,Irelia,Saulius 10,Ziggs,Kaor1,Rell,Nash2,Camille,KURU DUT,Poppy,better bot win1,Galio,TESLA OPTIMUS,Lucian,Icelandwinter,Gragas,UOL Doedalo
5488448441,win,Ranked Solo,2021-10-03 07:03:45,31m 51s,4,6,7,1.83:1,empty,empty,Qiyana,Grandmaster,empty,Gnar,masked gamer XD,Qiyana,better bot win1,Irelia,Saulius 10,Syndra,sajatoruu,Rakan,Chouineur 1,LeBlanc,Einard,Graves,2021Worlds0000,Sett,Suirotas,Lucian,C9 ZVENNN,Yuumi,lolNash
