gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490407864,win,Ranked Solo,2021-10-04 08:07:38,31m 39s,10,4,4,3.50:1,Double Kill,empty,Kai'Sa,Master,empty,Wukong,FeelMyLamppost,Ekko,Zzolzg,Syndra,Adeptx,Jinx,BYG Liang,Amumu,Sewayx,Tryndamere,TwTv NMB Jordan,Fiddlesticks,Mandag Unchained,Akshan,Veecto,Kai'Sa,Ukranian,Sett,1roNN
5490366539,lose,Ranked Solo,2021-10-04 07:30:05,15m 57s,1,2,1,1.00:1,empty,empty,Kai'Sa,Master,empty,Ornn,TwTv BloodOnYou,Zed,n 456,Orianna,DeCypher1,Kai'Sa,Ukranian,Leona,1roNN,Darius,JEWZAURUS REX,Viego,Bigby WoIf,Twisted Fate,Jin Mu Wοn,Ashe,RunnerOnTheLoose,Zyra,TerriblePlayer24
5490420726,lose,Ranked Solo,2021-10-04 06:59:55,25m 20s,1,7,3,0.57:1,empty,empty,Kai'Sa,Master,empty,Pantheon,CYBORG777,Jarvan IV,Deztined,Twisted Fate,Jin Mu Wοn,Draven,KH Komandata,Nami,Pitaria,Aatrox,future memories,Lee Sin,Pablo Parito,Rumble,Shinøre,Kai'Sa,Ukranian,Rakan,Luck is my Waifu
5490321459,lose,Ranked Solo,2021-10-04 05:59:46,27m 15s,3,8,3,0.75:1,Double Kill,empty,Kai'Sa,Master,empty,Fiora,φψµ,Talon,niaM cdA,Lucian,BèAnn,Karthus,Steel lnquisitor,Nami,Siskauskas,Riven,uguysaresobad,Gwen,potatoporcupine1,Yone,Sunstrike,Kai'Sa,Ukranian,Thresh,TDC Mega
5490166531,win,Ranked Solo,2021-10-04 05:24:16,28m 34s,10,2,7,8.50:1,Double Kill,MVP,Kai'Sa,Master,empty,Fiora,Overdose enjoyer,Graves,ramen abuser QAQ,Ahri,Ebolynn,Jinx,Viel Glück,Bard,Panda bleu,Camille,chicken nuggie86,Nunu & Willump,Mrentorox,Yone,BèAnn,Kai'Sa,Ukranian,Nami,Siskauskas
5490161634,lose,Ranked Solo,2021-10-04 04:51:22,22m 24s,2,3,2,1.33:1,empty,empty,Kai'Sa,Master,empty,Irelia,zhugemeng,Qiyana,Chaoxiang JJ,Ryze,Jin Mu Wοn,Kai'Sa,Ukranian,Nautilus,Panda bleu,Graves,Headache Man,Taliyah,pospieszny do d1,Yone,2Cups,Lucian,TOPSHOTTA99,Braum,PinkMin
5490103710,lose,Ranked Solo,2021-10-04 04:20:02,30m 11s,5,8,6,1.38:1,empty,empty,Kai'Sa,Master,empty,Jax,FIX SOL0Q,Diana,Jonąs,LeBlanc,spellbonks,Lucian,Giant Monster,Nami,Panda bleu,Graves,Beartree,Karthus,Sn1lle,Kassadin,sadfsaf,Kai'Sa,Ukranian,Karma,Suken
5489246629,lose,Ranked Solo,2021-10-03 23:28:54,26m 9s,9,10,5,1.40:1,Triple Kill,empty,Kai'Sa,Master,empty,Jayce,Thel1ttletiger,Diana,Dandom1,Xin Zhao,play for me orFF,Kai'Sa,Ukranian,Amumu,QTKT,Irelia,Beeeeen voyons,Kayn,erased jgl,Seraphine,AD723,Vayne,Moeless,Sett,Motleyy Crew
5488557920,win,Ranked Solo,2021-10-03 08:14:55,29m 42s,8,4,7,3.75:1,Double Kill,empty,Samira,Master,empty,Graves,ssibal mosquitos,Zed,niaM cdA,Ryze,Mo Bamba,Lucian,Hayakawa Akí,Bard,peeseen,Urgot,FOXA Uhtred,Ivern,raptus bloom,Yone,BLACKMETALTERROR,Samira,Ukranian,Pyke,Senpai David
5488571672,lose,Ranked Solo,2021-10-03 07:33:29,28m 46s,6,4,9,3.75:1,empty,empty,Samira,Master,empty,Aatrox,Dyoll,Talon,UP5 Timbo,Zed,XXXXX Q0001,Vayne,CocaCola Monster,Lulu,Kuba Kaus,Irelia,Shiawase,Kindred,معزة,Sylas,Redeemedxyz,Samira,Ukranian,Amumu,Pötürgeli xD
5488408721,win,Ranked Solo,2021-10-03 06:50:49,24m 0s,4,7,3,1.00:1,empty,empty,Samira,Master,empty,Fiora,VGIA Th3Antonio,Talon,NE Kaihua,Akali,mid is fighting,Lucian,Dattu,Pyke,Jaridot13,Kennen,LNGLNGLNG,Qiyana,2021Worlds,Karma,14yo smurf ,Samira,Ukranian,Yuumi,Raysør
5488253799,win,Ranked Solo,2021-10-03 04:24:13,27m 37s,7,5,1,1.60:1,Double Kill,empty,Yone,Master,empty,Sett,89 fds 126,Ekko,MΑRΤ,Yone,Ukranian,Jhin,Mauki,Zyra,Yanis Benj,Graves,2021Worlds0113,Evelynn,XΥZ,Tryndamere,William4,Lucian,czerń koniczyna,Rakan,hoppini djuniyr
5487649933,lose,Ranked Solo,2021-10-02 22:01:38,35m 59s,18,8,8,3.25:1,Triple Kill,ACE,Miss Fortune,Master,empty,Camille,kallesyn,Karthus,Krazy,Twisted Fate,VSA Liam,Miss Fortune,Ukranian,Galio,Jojonet,Ornn,TwTv Makkro0,Talon,WKR tooshi,Katarina,EU Katarina Gosu,Jhin,DokyoTrift,Shaco,Sel Improve
5487615481,lose,Ranked Solo,2021-10-02 21:11:12,31m 32s,10,6,6,2.67:1,Double Kill,ACE,Lucian,Master,empty,Yone,Hoketo,Nidalee, Terrºr,Jax,onlyfans makony,Lucian,Ukranian,Taric,VRX Peter,Tryndamere,l l l l I I I l,Karthus,Krazy,Aatrox,Beeeeen voyons,Kai'Sa,Nothing But Dust,Alistar,explore yourself
5487611311,lose,Ranked Solo,2021-10-02 20:31:25,29m 20s,12,9,5,1.89:1,Double Kill,empty,Lucian,Master,empty,Fiora,Sifiguru,Sejuani,RostKur,Yasuo,eX Chonky,Lucian,Ukranian,Bard,Vicky Leandros,Nasus,Ou TheLady Ou,Viego,Yami Yuumî,LeBlanc,ZFLESZEM  Choco,Jhin,Meshade1,Amumu,honor my adc
5487506675,lose,Ranked Solo,2021-10-02 19:46:06,27m 57s,4,7,12,2.29:1,Double Kill,empty,Miss Fortune,Master,empty,Jayce,Ou TheLady Ou,Tryndamere,MadCl0wn,Karma,CORONA EQUALS 5G,Miss Fortune,Ukranian,Bard,PederseNN,Urgot,uggrot,Viego,Yami Yuumî,Talon,Edgy213721372137,Ziggs,Pοl,Soraka,BananaAbuser42
5487483556,lose,Ranked Solo,2021-10-02 19:10:44,29m 59s,2,2,9,5.50:1,empty,empty,Lucian,Master,empty,Irelia,Kimchi warrior1,Nunu & Willump,Jáximus,Akshan,I love mages,Aphelios,Jopa1,Braum,WeakSide Kiiing,Fiora,Ou TheLady Ou,Graves,Samurai Madara,Cassiopeia,alexon12,Lucian,Ukranian,Amumu,Soft and Hairy
5487136892,win,Ranked Solo,2021-10-02 07:55:38,30m 55s,6,4,17,5.75:1,MVP,empty,Jinx,Master,empty,Graves,Firefl0wer,Evelynn,Insmnia v2,Orianna,UMBBBBBBBBBBB,Jinx,Ukranian,Amumu,2021Worlds0173,Aatrox,lluνia,Karthus,NHWK,Tryndamere,Viikingr,Kai'Sa,KH Komandata,Nautilus,Lil Ûzi Vert
5487141661,lose,Ranked Solo,2021-10-02 07:09:32,22m 20s,3,4,1,1.00:1,Double Kill,empty,Jinx,Master,empty,Graves,Heimskáut réfur,Talon,DUALIPAadfhgkdgk,Yone,Rèd is Zwy,Ezreal,GNLGNL,Zyra,Yanis Benj,Sett,SMB Kireas,Dr. Mundo,Hamudis,Zoe,CannonMinion4u,Jinx,Ukranian,Xerath,Luck is my Waifu
