gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490368857,lose,Ranked Solo,2021-10-04 08:11:16,33m 20s,8,14,2,0.71:1,Double Kill,empty,Irelia,Grandmaster,empty,Graves,dehastee,Nidalee,Aítana Øcaña,Qiyana,Twitch Ag0nyPain,Ziggs,Jasοn Bourne,Amumu,BroIia,Irelia,JBL ABUSER,Kha'Zix,LMAO OmulFinn,Katarina,SL0WDEATH,Senna,Katherine Pierce,Karma,BOXDEL NAURA
5490364206,lose,Ranked Solo,2021-10-04 07:28:03,35m 4s,10,9,9,2.11:1,empty,empty,Fiora,Challenger,empty,Irelia,chance no exist,Taliyah,Aítana Øcaña,Yone,Blodreinaaaaa,Lucian,Kaor1,Lulu,Kaseko,Fiora,JBL ABUSER,Lee Sin,VGIA 113,Ryze,Chemera,Kalista,Kieran Tierney,Rell,Veignorem
5490278890,lose,Ranked Solo,2021-10-04 06:37:09,23m 32s,5,1,0,5.00:1,ACE,empty,Aatrox,Grandmaster,empty,Kayn,tiltproof acc XD,Nidalee,HRN Joinze,Katarina,TwTv Ronges1,Xayah,LDLC Gumayusi,Rakan,UOL Doedalo,Aatrox,JBL ABUSER,Qiyana,bobber kong,Kassadin,Chamana1,Kalista,WTX Scripter,Rell,TESLA OPTIMUS
5490244653,win,Ranked Solo,2021-10-04 06:03:13,23m 40s,0,2,15,7.50:1,empty,empty,Sett,Grandmaster,empty,Irelia,Xiaobylenz,Zac,A41G Blank,Malzahar,balagan,Lucian,EDG Innaxe,Nami,FGG,Sett,JBL ABUSER,Qiyana,better bot win1,Anivia,nakreB v2,Varus,gr8erthanscripts,Rell,TESLA OPTIMUS
5490206749,lose,Ranked Solo,2021-10-04 05:30:39,28m 13s,13,6,3,2.67:1,Double Kill,ACE,Aatrox,Grandmaster,empty,Aatrox,JBL ABUSER,Rengar,Hish,Sylas,Saulius 10,Lucian,EDG Innaxe,Braum,Nash1,Tryndamere,ΙrreΙevant,Poppy,Aurora time,Ryze,RGE Larssεn,Yasuo,dajor25,Nautilus,Frank Horrigan
5490130316,lose,Ranked Solo,2021-10-04 04:53:39,24m 11s,2,6,2,0.67:1,empty,empty,Jayce,Grandmaster,empty,Aatrox,Finn1,Lee Sin,Happy Alexx,Anivia,nakreB v2,Vayne,Icelandwinter,Lulu,I take all,Jayce,JBL ABUSER,Qiyana,t4rzan1,Katarina,iLL SZYMONiLL4W,Kai'Sa,lucker3,Rell,TESLA OPTIMUS
5489295198,lose,ARAM,2021-10-03 23:19:20,16m 50s,17,11,12,2.64:1,Triple Kill,empty,Lee Sin,empty,empty,Caitlyn,Sleepplank,Pyke,Malene,Azir,Azirill,Cho'Gath,cientificpro,Veigar,YOUR MOM IN LAVA,Lee Sin,JBL ABUSER,Blitzcrank,VladimirPudin14,Rengar,TheGreenBuff,Yasuo,Stoepkrijt,Heimerdinger,Denfox
5488478175,win,Ranked Solo,2021-10-03 07:10:46,30m 44s,10,1,13,23.00:1,Double Kill,MVP,Camille,Master,empty,Volibear,KURU DUT,Graves,SMB Kireas,Ryze,aléc,Lucian,Yosikomo,Rakan,SGE Heimdall,Camille,JBL ABUSER,Taliyah,asdfghjklqwe,Sylas,Littlebuffbabe,Karthus,efiL,Janna,Shubber
5488435005,lose,Ranked Solo,2021-10-03 06:24:32,16m 1s,1,4,2,0.75:1,empty,empty,Irelia,Grandmaster,empty,Sylas,sajatoruu,Rengar,Shére khán,Anivia,nakreB v2,Kai'Sa,Kaor1,Pyke,WatchMyPuppets,Irelia,JBL ABUSER,Qiyana,better bot win1,Kassadin,slowq9zb,Lucian,lucker3,Thresh,Frank Horrigan
5488377785,win,Ranked Solo,2021-10-03 06:01:10,29m 31s,6,5,13,3.80:1,Double Kill,empty,Wukong,Grandmaster,empty,Wukong,JBL ABUSER,Qiyana,DUALIPAadfhgkdgk,Vel'Koz,Fin Frérοt ,Vladimir,Canard Mandarin,Bard,LiL TommyG,Jayce,maybe f keys ,Lee Sin,BIood drippin,Anivia,nakreB v2,Lucian,huge performanz ,Rakan,divočákos
