gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5488887873,win,Ranked Solo,2021-10-03 19:41:01,20m 11s,7,3,2,3.00:1,empty,empty,Draven,Grandmaster,empty,Aatrox,SK Alois,Lee Sin,Boukada,Twisted Fate,Jαvier,Draven,Frappii Jabami,Rell,TESLA OPTIMUS,Tryndamere,Stor Olle ,Ekko,easymoneysniper1,Sett,l Need Blood ,Lucian,nobody knows0,Nami,Prosfair
5488903480,win,Ranked Solo,2021-10-03 19:12:39,30m 30s,9,6,9,3.00:1,empty,empty,Jhin,Grandmaster,empty,Camille,7zx,Evelynn,SL0WDEATH,Akshan,Lagolinasz,Lucian,coza,Nami,7B Senceless,Fiora,TurningBackTime1,Kha'Zix,Stopfeedanimals,Twisted Fate,M1dLaoban,Jhin,Frappii Jabami,Karma,Ambiguously
5488838913,win,Ranked Solo,2021-10-03 18:29:33,27m 43s,3,6,11,2.33:1,empty,empty,Draven,Grandmaster,empty,Jax,TurningBackTime1,Nidalee,snail xD,Yone,7zx,Lucian,SHøWMAKéR,Nami,Qnoxs,Camille,SK Alois,Master Yi,Austrian Yi,Seraphine,Jαvier,Draven,Frappii Jabami,Leona,sixsixsi666
5487843395,lose,Ranked Solo,2021-10-02 23:39:56,33m 35s,7,12,6,1.08:1,Double Kill,empty,Draven,Grandmaster,empty,Yone,Dzukill,Hecarim,Airron,Syndra,ZWYRØØ,Draven,Frappii Jabami,Pyke,Chouineur 1,Jayce,dofaminu,Rumble,FPX Peanut,Vex,ssimpli,Aphelios,bob kong,Thresh,enjawve
5487747431,lose,Ranked Solo,2021-10-02 22:55:52,31m 45s,11,6,7,3.00:1,Double Kill,ACE,Jhin,Grandmaster,empty,Sion,Babus,Taliyah,Kirei sama,Sylas,maybe f keys ,Jhin,Frappii Jabami,Sett,ég jojopyun,Warwick,Tokz,Talon,WO DIUUUUUUUUU,Twisted Fate,Mood rings,Lucian,Practice,Nami,soloqwarrior1
5487705238,win,Ranked Solo,2021-10-02 22:19:42,20m 11s,4,4,5,2.25:1,Double Kill,empty,Ezreal,Challenger,empty,Garen,GODZILLA66666666,Ekko,ismaaa,Irelia,FB Kunduz,Draven,TakeSet sama,Janna,Qnoxs,Sett,NotYouPillow,Kha'Zix,Polish Bwipo,Annie,AØH,Ezreal,Frappii Jabami,Leona,Veignorem
5487721035,win,Ranked Solo,2021-10-02 21:52:16,21m 54s,2,1,1,3.00:1,empty,empty,Draven,Challenger,empty,Camille,JBL ABUSER,Nidalee,Loumuis,Sylas,xKenzuke1,Draven,Frappii Jabami,Nami,Qnoxs,Sett,Lumerion,Talon,WO DIUUUUUUUUU,Twisted Fate,Sebeks,Seraphine,Veignorem,Karma,whiteinn
5487598613,win,Ranked Solo,2021-10-02 21:26:15,23m 39s,7,4,3,2.50:1,Double Kill,empty,Draven,Grandmaster,empty,Gragas,Babus,Diana,asdfghjklqwe,Akshan,SL0WDEATH,Draven,Frappii Jabami,Nami,Deffaren,Ornn,LionHeart Musa,Qiyana,123Tarzan,Vex,Chamana1,Lucian,srysry,Nautilus,Leon der Leon
5487539794,lose,Ranked Solo,2021-10-02 20:25:18,28m 25s,10,13,3,1.00:1,Triple Kill,empty,Draven,Grandmaster,empty,Lee Sin,SlXTEN,Taliyah,123Tarzan,Twisted Fate,Po Gap,Draven,Frappii Jabami,Rell,Chouineur 1,Gangplank,10 Feet Down,Nidalee,FPX Peanut,Vex,1997Worlds0013,Lucian,Mοrdred,Nami,Tw KristijanKing
5487536061,lose,Ranked Solo,2021-10-02 19:46:45,25m 14s,6,11,5,1.00:1,empty,empty,Draven,Grandmaster,empty,Shen,dont be yikes,Viego,Expecto Patrounm,Jayce,dehastee,Karthus,DIGESTHUMANFLESH,Pantheon,Roulette,Aatrox,CHOVY TOP,Taliyah,OnerKING,Corki,11Lunari Weapons,Draven,Frappii Jabami,Sett,Chouineur 1
