gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5486885809,lose,Ranked Solo,2021-10-02 05:29:24,18m 51s,8,6,1,1.50:1,Triple Kill,ACE,Draven,Grandmaster,empty,Lee Sin,wakeuptoreaIity,Talon,UOL Cryptodir,Sylas,Mοrdred,Draven,Koupfonga,Rell,Nash2,Fiora,00N Kerberos,Zed,CaÞs,Ryze,ifollowthebeat,Ezreal,Kaor1,Rakan,Bardtu
5485553979,lose,Ranked Solo,2021-10-01 08:05:48,22m 13s,2,4,2,1.00:1,empty,empty,Lucian,Master,empty,Gwen,Stargazer7,Graves,DahVysss,Qiyana,Twitch Ag0nyPain,Ezreal,G 2 3 H 1 Z U ,Teemo,Shubber,Jax,5454545454,Diana,Fαllεn,Yasuo,Tu po zi wo,Lucian,Koupfonga,Nami,Nezuko san
5484285536,lose,Ranked Solo,2021-09-30 07:40:18,30m 50s,2,8,8,1.25:1,empty,empty,Ezreal,Grandmaster,empty,Camille,wakeuptoreaIity,Viego,Happy Alexx,Galio,Hantera1,Kai'Sa,nrmn,Alistar,Erdotee,Shen,bean3,Lillia,Kirei sama,Irelia,FB Kunduz,Ezreal,Koupfonga,Yuumi,Obstinatus
5484147475,win,Ranked Solo,2021-09-30 06:38:05,37m 19s,11,10,9,2.00:1,Double Kill,empty,Miss Fortune,Grandmaster,empty,Shen,dont be yikes,Nidalee,khanzir slayer,Yone,jackisek,Miss Fortune,Koupfonga,Morgana,WatchMyPuppets,Poppy,Poppuszka,Graves,WO DIUUUUUUUUU,Anivia,nakreB v2,Karthus,twtv Melljo,Pyke,better bot win1
5481830594,win,Ranked Solo,2021-09-28 21:19:04,16m 42s,3,4,20,5.75:1,empty,empty,Braum,Grandmaster,empty,Tryndamere,CaÞs,Lee Sin,eum virgin,Kennen,C9 Fudge Factor,Ezreal,quack1,Braum,Koupfonga,Shen,Shending el HP,Rumble,easymoneysniper1,Kayle,Chamana1,Vayne,WTX Scripter,Amumu,WANNADIVE
5481707159,lose,Ranked Solo,2021-09-28 20:41:31,24m 53s,7,8,3,1.25:1,Double Kill,empty,Lucian,Master,empty,Poppy,Nusss,Zed,Jungler3,Ekko,easymoneysniper1,Ezreal,R0o2,Yuumi,player 240,Aatrox,Not nexo rdy,Nidalee, Terrºr,Lissandra,Tziz,Lucian,Koupfonga,Rell,sixsixsi666
5479379023,lose,Ranked Solo,2021-09-27 04:57:10,23m 11s,4,8,5,1.13:1,empty,empty,Ziggs,Grandmaster,empty,Jax,slapbooty453,Fiddlesticks,AØH,Yone,jackisek,Jhin,Namex,Shaco,Desperate Shaco,Sett,SMB NuQ,Ekko,Albetray,Irelia,My All For Her,Ziggs,Koupfonga,Senna,2021Worlds0044
5479300744,lose,Ranked Solo,2021-09-27 04:05:52,21m 8s,3,7,6,1.29:1,empty,empty,Xayah,Grandmaster,empty,Jax,ˇ sao,Nocturne,1Z1Z,Kassadin,agdang,Xayah,Koupfonga,Thresh,ill be noticed,Irelia,FB Kunduz,Master Yi,Austrian Yi,LeBlanc,SKT MAG7,Lucian,C9 ZVENNN,Amumu,soloqwarrior1
5478926510,win,Ranked Solo,2021-09-27 01:05:18,28m 30s,12,4,5,4.25:1,Triple Kill,empty,Samira,Grandmaster,empty,Shen,Shending LP,Talon,Aítana Øcaña,Lissandra,Mood rings,Ziggs,0711 DoggyDingus,Janna,Weakside Zzzzzzz,Camille,Xiaobylenz,Nidalee,Francis Ngannou,Irelia,M1dLaoban,Samira,Koupfonga,Amumu,Zergsting
5478875966,lose,Ranked Solo,2021-09-27 00:08:21,27m 0s,7,5,9,3.20:1,empty,empty,Jhin,Grandmaster,empty,Sett,Xiaobylenz,Gragas,im car,Yone,Fressko,Draven,TakeSet sama,Thresh,Damgos,Camille,KURU DUT,Shyvana,Charlie Heaton,Diana,Kamus,Jhin,Koupfonga,Vel'Koz,Switzerstar
5478779753,win,Ranked Solo,2021-09-26 23:31:47,26m 22s,8,5,11,3.80:1,empty,empty,Miss Fortune,Grandmaster,empty,Camille,Laí zì shan dong,Shyvana,Charlie Heaton,Yasuo,Deádly,Miss Fortune,Koupfonga,Karma,Walid Georgey,Riven,wakeuptoreaIity,Zed,sheo test acc,Katarina,TwTv Ronges1,Lucian,Switzerstar,Nami,Qnoxs
5478333763,lose,Ranked Solo,2021-09-26 16:38:11,23m 22s,4,8,4,1.00:1,empty,empty,Tristana,Grandmaster,empty,Singed,sixsixsi666,Skarner,HGS Echelon,Sylas,so grateful,Tristana,Koupfonga,Rakan,azerty1,Aatrox,flyfIy,Kha'Zix,VictimOfBotDif,Ryze,serin1,Aphelios,ad1111111,Sona,Qnoxs
5478351740,lose,Ranked Solo,2021-09-26 15:50:04,25m 4s,6,8,4,1.25:1,Double Kill,empty,Vayne,Master,empty,Shen,klovn,Shyvana,I AM LOSERS Q,Jayce,serin1,Ezreal,Animani,Nami,sixsixsi666,Aatrox,PeberJack,Karthus,NHWK,Yone,Bloοd and Guts,Vayne,Koupfonga,Soraka,IJN Kashino
5475186472,lose,Ranked Solo,2021-09-24 22:06:55,33m 55s,2,9,10,1.33:1,empty,empty,Miss Fortune,Grandmaster,empty,Camille,AST MagiFelix,Kindred,nap ability,Anivia,IDRNKURMILKSHAKE,Miss Fortune,Koupfonga,Galio,Chamana1,Irelia,VITB Raven,Master Yi,Sinerias Mental,Gragas,im car,Draven,Pride0,Pyke,TraYtoN
5475161641,win,Ranked Solo,2021-09-24 21:11:28,23m 0s,11,5,9,4.00:1,Double Kill,empty,Miss Fortune,Master,empty,Irelia,ItsUniqueCORN,Lillia,ramen abuser QAQ,Sylas,ArcaneTeddy,Aphelios,VER Yusa,Sona,BUFFMEUP,Yone,EXECUTE ORDER,Jarvan IV,mr poIska,LeBlanc,TheWanderingPro,Miss Fortune,Koupfonga,Amumu,Načatá Baculka
5475117339,win,Ranked Solo,2021-09-24 20:33:30,23m 48s,2,2,7,4.50:1,empty,empty,Ezreal,Grandmaster,empty,Akshan,Madzzz,Shyvana,Agurin,Jayce,dehastee,Ezreal,Koupfonga,Thresh,Tigazz,Irelia,phlaty,Viego,Jαvier,Vex,Play Date To You,Kai'Sa,Gone for a break,Karma,Rank1 Macro
5473727117,win,Ranked Solo,2021-09-24 02:23:06,26m 32s,4,2,9,6.50:1,Double Kill,empty,Xayah,Grandmaster,empty,Sion,Babus,Lee Sin,AØH,Kassadin,TwTv Ag0nyPain,Tristana,Please try hard,Alistar,LiL TommyG,Corki,nakreB v2,Evelynn,Roulette,Tryndamere,SL0WDEATH,Xayah,Koupfonga,Zilean,godzaimeris
5473664367,lose,Ranked Solo,2021-09-24 01:04:32,31m 9s,3,6,9,2.00:1,empty,empty,Seraphine,Grandmaster,empty,Camille,cursed property,Qiyana,deepbIackdemon,Aatrox,slowq9zb,Seraphine,Koupfonga,Amumu,Rychly,Yone,Envy Carry,Evelynn,Roulette,Irelia,dofaminu,Lucian,JaVaaa 6,Lulu,Umoraki
5473516710,lose,Ranked Solo,2021-09-23 23:50:42,20m 57s,1,4,2,0.75:1,empty,empty,Lucian,Grandmaster,empty,Gnar,Kakan,Gragas,Whiteakitout,Yone,Saulius 10,Lucian,Koupfonga,Heimerdinger,αfm,Darius,WAO RANK 1 ,Kayn,coverunder,Orianna,SlXTEN,Ezreal,KC xMatty1,Soraka,divočákos
5473551839,lose,Ranked Solo,2021-09-23 23:12:56,27m 34s,2,2,7,4.50:1,Double Kill,ACE,Miss Fortune,Grandmaster,empty,Aatrox,Str33t Values,Zed,Play Scuttle Pls,Sylas,Serendrip,Miss Fortune,Koupfonga,Lulu,KLOSHARS40FIRMI,Dr. Mundo,Zhìì,Gragas,GAL Elramir,Yasuo,S8DiamondDog,Lucian,its all a joke,Janna,Umoraki
5472882262,win,Ranked Solo,2021-09-23 05:59:03,23m 34s,18,4,7,6.25:1,Quadra Kill,MVP,Lucian,Grandmaster,empty,Fiora,pr1meé ,Qiyana,Lοvelorn,Galio,Decay0,Tristana,RGO Odi11,Rell,lolNash,Trundle,FrozenHuntsman,Ekko,sheø,Ryze,RGE Larssεn,Lucian,Koupfonga,Yuumi,Undercover CameL
5472846177,lose,Ranked Solo,2021-09-23 05:23:29,26m 48s,5,9,4,1.00:1,Double Kill,empty,Lucian,Grandmaster,empty,Urgot,TwTv Kamon ,Evelynn,Roulette,Graves,SKT MAG7,Ziggs,Guuuubs,Bard,euw tourist,Sion,me like solobolo,Xin Zhao,fooling around,Katarina,AST MagiFelix,Lucian,Koupfonga,Nami,Champ Tester
5472710158,win,Ranked Solo,2021-09-23 04:38:10,19m 7s,13,3,4,5.67:1,Double Kill,MVP,Lucian,Grandmaster,empty,Darius,WAO RANK 1 ,Qiyana,C9 Blaberfish2,Cassiopeia,Loumuis,Aphelios,WTX Scripter,Gragas,Hantera1,Gnar,Nillee,Zac,Thicc Zac,Orianna,MSF Sertuss,Lucian,Koupfonga,Soraka,I take all
