gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490420207,win,Ranked Solo,2021-10-04 08:33:25,24m 28s,16,4,7,5.75:1,Double Kill,empty,Sylas,Master,empty,Lulu,Ain t famous boy,Zed,yüzenköfte,Syndra,SlXTEN,Kai'Sa,asdfghjqwert,Sett,NanamiHakuya,Aatrox,Gabbo,Talon,OnerKING,Sylas,huge performanz ,Tristana,the super noob,Blitzcrank,Frank Horrigan
5490436404,lose,Ranked Solo,2021-10-04 08:01:06,23m 36s,6,8,2,1.00:1,Double Kill,empty,Irelia,Master,empty,Gwen,Thel1ttletiger,Zed,yüzenköfte,Karthus,efiL,Tristana,Dym le Chagrin,Brand,RRRift,Dr. Mundo,KCKS,Gragas,Fressko,Irelia,huge performanz ,Lucian,Mindrago,Nami,Dvek
5490385541,win,Ranked Solo,2021-10-04 07:30:13,20m 22s,4,1,3,7.00:1,empty,empty,Lucian,Master,empty,Malphite,KCKS,Rengar,Devid,Kassadin,Twitch Ag0nyPain,Lucian,huge performanz ,Yuumi,GK Mishal,Jayce,Ragnér3,Kha'Zix,Cedeiix,Yone,XLeQu,Heimerdinger,Naamu,Bard,BroIia
5490361398,win,Ranked Solo,2021-10-04 06:52:16,21m 58s,11,2,5,8.00:1,Double Kill,empty,Qiyana,Master,empty,Dr. Mundo,Gugaz,Viego,FB Rames,Ryze,Scúffed,Lucian,Mindrago,Nami,PinkMin,Vayne,Sorest,Qiyana,huge performanz ,Irelia,Rèd is Zwy,Ziggs,Lari,Bard,nova7777777
5490284761,win,Ranked Solo,2021-10-04 06:18:37,29m 24s,15,8,14,3.63:1,Triple Kill,empty,Orianna,Master,empty,Jayce,Thel1ttletiger,Jarvan IV,something 2 lose,Orianna,huge performanz ,Ziggs,Viper sama,Yuumi,Frode,Tahm Kench,tbh just kill me,Kayn,Scroody,Twisted Fate,Cart00nCharacter,Miss Fortune,efiL,Amumu,Nezuko san
5490149253,lose,Ranked Solo,2021-10-04 05:37:32,29m 32s,2,10,4,0.60:1,empty,empty,Sylas,Grandmaster,empty,Nasus,iLL F13RC3 ,Xin Zhao,ReX Thayger,Sylas,huge performanz ,Miss Fortune,i abuse ie ,Brand,Adeptx,Aatrox,chance no exist,Ekko,NVD Flufo,Yone,BROHAN AND SEKKI,Ezreal,bnaduhas,Karma,Phosphophylite
5489252726,lose,Ranked Solo,2021-10-03 23:17:49,38m 46s,4,11,12,1.45:1,empty,empty,LeBlanc,Master,empty,Pantheon,JingleDingle,Taliyah,Chelouche,Tryndamere,nangman topsolo,Miss Fortune,ATL JuJuTw0,Leona,2021Worlds0173,Riven,ΚyM,Jarvan IV,0711 Jwic,LeBlanc,huge performanz ,Jinx,Nero Forte,Nami,brKm
5488670624,win,Ranked Solo,2021-10-03 08:42:24,20m 20s,8,0,7,Perfect,MVP,empty,Kha'Zix,Master,empty,Mordekaiser,Wufo,Kha'Zix,huge performanz ,Soraka,Thomas Fäte,Lucian,Cóbb,Nami,14yo smurf ,Urgot,David Nalbandian,Talon,tempsjgjlgslchok,Vladimir,Reu,Karthus,twtchtvELOSANTA,Leona,F P Journe
5488509601,lose,Ranked Solo,2021-10-03 08:11:59,23m 30s,6,7,4,1.43:1,Double Kill,empty,Sylas,Grandmaster,empty,Volibear,Wufo,Rengar,ADCImpregnator,Akali,MCES Artoria,Kog'Maw,TheLegendOfMagic,Lulu,HAHHAHAHAHAXXDDD,Irelia,chance no exist,Viego,2021Worlds,Sylas,huge performanz ,Tristana,motus vetiti,Zilean,Mr Tickle
5488526294,lose,Ranked Solo,2021-10-03 07:41:52,15m 31s,1,7,0,0.14:1,empty,empty,Ezreal,Master,empty,Wukong,LittIe Trouble,Kayn,SMB Kireas,Sylas,MCES Artoria,Ezreal,huge performanz ,Yuumi,F tier supp,Lee Sin,20001111,Ekko,2021Worlds,Akshan,Not nexo rdy,Jhin,Liv Tyler7,Bard,Mr Tickle
