gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5490430163,lose,Ranked Solo,2021-10-04 08:35:02,24m 43s,0,9,5,0.56:1,empty,empty,Seraphine,Grandmaster,empty,Sett,Xiaobylenz,Olaf,better bot win1,Anivia,Chemera,Seraphine,UOL Doedalo,Bard,LiL TommyG,Irelia,dofaminu,Rammus,BR Lord Semi,Sylas,ég jojopyun,Jhin,nrmn,Rakan,Nash2
5490349183,win,Ranked Solo,2021-10-04 07:56:16,23m 34s,1,0,15,Perfect,empty,empty,Soraka,Grandmaster,empty,Poppy,Xiaobylenz,Lillia,NVD Flufo,Zed,TwTv Ronges1,Ezreal,hiro3,Soraka,UOL Doedalo,Camille,DONT DISSAPEAR,Ekko,Tu po zi wo,Graves,Chamana1,Caitlyn,Ruined Crazyadri,Karma,TESLA OPTIMUS
5490373738,lose,Ranked Solo,2021-10-04 07:20:41,29m 40s,1,4,9,2.50:1,empty,empty,Rakan,Grandmaster,empty,Ekko,HHNeverLucky v2,Viego,Roulette,Ryze,RGE Larssεn,Lucian,WTX Scripter,Yuumi,woshidoinb,Irelia,Bestejdercan,Talon,Tu po zi wo,Katarina,TwTv Ronges1,Ezreal,NOX Scythe,Rakan,UOL Doedalo
5490278890,win,Ranked Solo,2021-10-04 06:37:09,23m 32s,5,0,12,Perfect,empty,empty,Rakan,Grandmaster,empty,Kayn,tiltproof acc XD,Nidalee,HRN Joinze,Katarina,TwTv Ronges1,Xayah,LDLC Gumayusi,Rakan,UOL Doedalo,Aatrox,JBL ABUSER,Qiyana,bobber kong,Kassadin,Chamana1,Kalista,WTX Scripter,Rell,TESLA OPTIMUS
5490321162,lose,Ranked Solo,2021-10-04 06:05:30,33m 56s,0,4,14,3.50:1,empty,empty,Nami,Grandmaster,empty,Fiora,XLeQu,Viego,Whiteakitout,Lissandra,Mood rings,Draven,khanzir slayer,Nami,UOL Doedalo,Irelia,dofaminu,Lee Sin,asdfghjklqwe,Orianna,Chamana1,Ezreal,the super noob,Seraphine,SPEEDOBEAR
5490194899,win,Ranked Solo,2021-10-04 05:18:51,26m 20s,11,3,9,6.67:1,Double Kill,empty,Pyke,Grandmaster,empty,Darius,toLyeV,Jarvan IV,SPEEDOBEAR,Heimerdinger,Snabipojk,Caitlyn,Ruined Crazyadri,Xerath,Shubber,Yone,XLeQu,Fiddlesticks,EUW VILLAIN,LeBlanc,Chamana1,Lucian,C9 ZVENNN,Pyke,UOL Doedalo
5489986621,win,Ranked Solo,2021-10-04 03:28:37,18m 59s,2,1,9,11.00:1,empty,empty,Bard,Grandmaster,empty,Anivia,nakreB v2,Kindred,asdfghjklqwe,Kassadin,CS Big Boss,Ezreal,the super noob,Bard,UOL Doedalo,Camille,XLeQu,Ivern,CRIPPLED JGLXD,Yone,MCES Artoria,Tristana,Neon1337Ad,Leona,marlοn
5489292968,lose,Ranked Solo,2021-10-03 23:05:55,15m 16s,0,5,3,0.60:1,empty,empty,Seraphine,Grandmaster,empty,Irelia,SMB NuQ,Graves,khanzir slayer,Taliyah,Odysseus131,Varus,Iose my mind,Amumu,soloqwarrior1,Tryndamere,Khoyev,Lee Sin,easymoneysniper1,Sylas,Oggman,Seraphine,UOL Doedalo,Soraka,livelyfish5
5488603609,lose,Ranked Solo,2021-10-03 08:30:40,3m 13s,0,0,0,0.00:1,empty,empty,Seraphine,Grandmaster,empty,Karma,soloqwarrior1,Talon,Aurora time,Galio,Roulette,Xayah,motus vetiti,Tryndamere,ΙrreΙevant,Sett,Nash2,Annie,Raiden Shogun C2,Evelynn,Mοrdred,Graves,H ι r o,Seraphine,UOL Doedalo
5488591078,lose,Ranked Solo,2021-10-03 08:13:26,14m 21s,2,4,4,1.50:1,empty,empty,Rakan,Grandmaster,empty,Wukong,SołdSoulForLp,Lee Sin,blrzr,Sylas,sajatoruu,Jhin,SAUCE WALKA,Rakan,UOL Doedalo,Garen,H ι r o,Diana,Expecto Patrounm,Irelia,ég jojopyun,Lucian,Kaor1,Yuumi,Roulette
5488525086,win,Ranked Solo,2021-10-03 07:48:02,30m 55s,4,4,13,4.25:1,empty,empty,Gragas,Grandmaster,empty,Darius,H ι r o,Lee Sin,ImJony,Irelia,Saulius 10,Ziggs,Kaor1,Rell,Nash2,Camille,KURU DUT,Poppy,better bot win1,Galio,TESLA OPTIMUS,Lucian,Icelandwinter,Gragas,UOL Doedalo
5488389334,lose,Ranked Solo,2021-10-03 07:00:35,32m 6s,3,5,11,2.80:1,ACE,empty,Seraphine,Grandmaster,empty,Garen,H ι r o,Zed,sheo test acc,LeBlanc,SHøWMAKéR,Yasuo,BROHAN AND SEKKI,Nami,godzaimeris,Riven,tetris guden,Rumble,easymoneysniper1,Talon, hege int acc1,Seraphine,UOL Doedalo,Rakan,PIYCRIGY
5488431495,lose,Ranked Solo,2021-10-03 06:22:07,36m 34s,7,7,16,3.29:1,empty,empty,Bard,Grandmaster,empty,Teemo,Alan234,Qiyana,sheo test acc,Irelia,ég jojopyun,Xerath,nap ability,Bard,UOL Doedalo,Rengar,7zx,Evelynn,Splash 001,Talon,Œµß,Jhin,srysry,Karma,Damgos
5488335467,lose,Ranked Solo,2021-10-03 05:39:04,30m 1s,1,6,14,2.50:1,empty,empty,Bard,Grandmaster,empty,Sylas,Oggman,Rek'Sai,Roi DEMON,Kennen,SMB NuQ,Miss Fortune,Please try hard,Amumu,Targamas,Riven, ممزق,Nidalee,khanzir slayer,Yasuo,Tοαst,Tristana,SPOLFCEI,Bard,UOL Doedalo
