gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5500592955,lose,Ranked Solo,2021-10-11 04:53:16,36m 19s,15,12,10,2.08:1,Double Kill,ACE,Tryndamere,Grandmaster,empty,Irelia,Decay0,Evelynn,Μaverick,Sylas,Don Noway,Lucian,League Enjoyer 1,Nami,FGG,Gwen,Crowno,Hecarim,RainbowBud,Tryndamere,chomaker,Draven,missing it,Karma,GOD KASSA
5500435579,win,Ranked Solo,2021-10-11 02:59:41,25m 5s,4,6,5,1.50:1,empty,empty,Ryze,Master,empty,Renekton,NieUfamCiJezu12,Qiyana,ppPoof 7,Ryze,chomaker,Draven,HalvorErEklegutt,Janna,Qnoxs,Cho'Gath,Crowno,Nidalee,egirIs stay away,Akshan,SGE Xioh,Miss Fortune,2pac reborned,Nautilus,PIYCRIGY
5500431193,lose,Ranked Solo,2021-10-11 02:27:41,20m 35s,1,11,2,0.27:1,empty,empty,Galio,Master,empty,Darius,Isombard,Lillia,VâllHîR,Galio,chomaker,Lucian,XOURA1,Nami,Apolo y Dafne,Riven,PeberJack,Graves,korea bbq,LeBlanc,Einard,Draven,pipey,Pyke,TESLA OPTIMUS
5500305513,lose,Ranked Solo,2021-10-11 01:59:31,28m 7s,9,7,8,2.43:1,ACE,empty,Yone,Master,empty,Vladimir,152cm187kg24cm,Nidalee,OP Anonymouss,Yone,chomaker,Miss Fortune,shine on me,Nautilus,OlivierLeRoutier,Gwen,jg diff victim,Graves,kanaaa,Cassiopeia,prev,Caitlyn,ION Marrow Ooze,Leona,10x your peak
5500237055,win,Ranked Solo,2021-10-11 01:22:26,42m 53s,7,7,15,3.14:1,Double Kill,empty,Zoe,Grandmaster,empty,Fiora,Invícta,Nunu & Willump,ATL SkewMond,Zoe,chomaker,Aphelios,Andolos,Leona,i dream lucid,Darius,ˇ sao,Viego,best viego ever,Cassiopeia,Doinbibi,Kai'Sa,Parth Galen,Xerath,židovskej cigan
5499925143,win,Ranked Solo,2021-10-10 21:14:15,12m 24s,0,1,3,3.00:1,empty,empty,Ryze,Master,empty,Darius,REVERSEHEHEXD,Talon,ppPoof 7,Ryze,chomaker,Draven,Chad Movement,Lulu,do me wrong,Fiora,Tokz,Rengar,hubi v9,Orianna,aléc,Tristana,HalvorErEklegutt,Nautilus,LM02
5499900971,win,Ranked Solo,2021-10-10 20:51:08,26m 37s,8,4,6,3.50:1,Triple Kill,empty,Lee Sin,Master,empty,Darius,REVERSEHEHEXD,Nidalee,Nathan der Weise,Zed,Midlane Prowess,Miss Fortune,Wood League,Nami,SUP Toxic Keskin,Wukong,Vortum,Lee Sin,chomaker,Viktor,Tollkühn,Lucian,Chad Movement,Yuumi,BotIsLavaPathTop
5498473924,win,Ranked Solo,2021-10-10 00:49:23,22m 39s,8,6,6,2.33:1,Double Kill,empty,Cassiopeia,Master,empty,Irelia,NattyNatt,Lee Sin,egirIs stay away,Cassiopeia,chomaker,Lucian,ModyKrokieto,Nami,HGS Torbulent,Graves,El Monkito Vroum,Gwen,Shen1v9King,Vex,RKT Maςaquiñø,Vayne,Chocklad Toppen,Bard,Hype Pengu
5495613012,lose,Ranked Solo,2021-10-08 02:29:22,24m 5s,4,3,6,3.33:1,ACE,empty,Ryze,Grandmaster,empty,Sett,the topgapper,Lee Sin,Whiteakitout,Ryze,chomaker,Jhin,hgotdsxz,Lulu,MCES Artoria,Aatrox,SK Alois,Xin Zhao,Maxlore,Galio,Teą,Miss Fortune,BotIsLavaPathTop,Janna,WιndNα
5495489623,win,Ranked Solo,2021-10-08 01:55:17,16m 6s,1,2,5,3.00:1,empty,empty,Twisted Fate,Master,empty,Camille,the topgapper,Zed,ChigongMaster,Twisted Fate,chomaker,Kog'Maw,fjoompbun,Thresh,Tiramolla,Darius,Zuhaîb,Qiyana,Viikingr,LeBlanc,Chamana1,Draven,DIGESTHUMANFLESH,Lulu,OCD Panic
