gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5500659119,win,Ranked Solo,2021-10-11 05:18:48,21m 49s,5,7,6,1.57:1,Double Kill,empty,Tryndamere,Master,empty,Dr. Mundo,Briefcase Man,Talon,Murabito B,Katarina,car crashh,Soraka,Erilarion,Rumble,Wood League,Tryndamere,Im fine thx you,Elise,Kudy,Yone,aureliongod2008,Miss Fortune,ad895091,Amumu,Only 151 Pokemon
5500312952,lose,Ranked Solo,2021-10-11 01:39:21,24m 31s,4,8,2,0.75:1,empty,empty,Tahm Kench,Master,empty,Camille,TOYOTA 86 TRUENO,Qiyana,W4rsz1,Tryndamere,ASP MΞNΞSIS,Caitlyn,Flowsnake Ice,Thresh,Exhausted Mango,Tahm Kench,Im fine thx you,Olaf,cnbt1,Ryze,Taibou,Ezreal,HEAVEN IMPORT,Janna,MS Abuser
5499879795,lose,Ranked Solo,2021-10-10 20:46:49,21m 9s,8,3,4,4.00:1,ACE,empty,Jax,Master,empty,Yone,Manjirø Sano,Graves,GRAVESICKFADEUNZ,Yasuo,Kobben,Ezreal,Lithuanian Deft,Janna,nigelf32,Sett,89 fds 126,Ekko,xRachedx,Jax,Im fine thx you,Miss Fortune,Jason Vuong,Galio,AmigoDTuMadrε
5499874223,lose,Ranked Solo,2021-10-10 20:12:37,37m 34s,6,10,9,1.50:1,ACE,empty,Jayce,Master,empty,Jayce,Im fine thx you,Ekko,DoubleAiM,Zed,Midlane Prowess,Ziggs,NKI Azitor,Leona,OPL Stend,Gnar,strongside joe,Nidalee,HIVE Xagog,Pantheon,Bobby the Helper,Lucian,kadeem alford 1,Bard,woshidoinb
5499832163,lose,Ranked Solo,2021-10-10 19:24:21,17m 49s,3,4,0,0.75:1,ACE,empty,Darius,Master,empty,Darius,Im fine thx you,Taliyah,TwTv chakibxd,Sylas,NINJA ARCHER,Lucian,LBJLBJLBJLBJ1111,Yuumi,Oceans Apart,Sett,its dark enough,Nidalee,NO BYSTANDERS1,Irelia,Peponaki,Miss Fortune,kadeem alford 1,Amumu,Benaset
5499758954,win,Ranked Solo,2021-10-10 19:00:55,19m 40s,10,3,9,6.33:1,Double Kill,MVP,Tryndamere,Master,empty,Tryndamere,Im fine thx you,Qiyana,Elyy Fanboy,Yasuo,Kobben,Draven,NINJA ARCHER,Syndra,Ialala,Fiora,Rage Man,Taliyah,TwTv chakibxd,Vayne,WhiteHuman,Xerath,PapiTeero,Amumu,Revolu
5498536976,win,Ranked Solo,2021-10-10 02:19:59,21m 55s,0,8,4,0.50:1,empty,empty,Tryndamere,Master,empty,Tryndamere,Im fine thx you,Rek'Sai,Bolito,Lissandra,nashe,Draven,the høød,Thresh,ŚCIERWO,Fiora,      Its Me Jr ,Gragas,AbeeJay,Irelia,Jagt,Ezreal,sxrenity,Bard,Nico Senpaii
5498540951,win,Ranked Solo,2021-10-10 01:39:07,23m 46s,2,6,8,1.67:1,empty,empty,Tahm Kench,Master,empty,Tahm Kench,Im fine thx you,Lee Sin,egirIs stay away,Ryze,SGE Oggok,Lucian,1921939455,Lulu,Siskauskas,Gwen,mumus100,Udyr,Atttila,Yone,play for me orFF,Ezreal,998 ZAMULEK,Nami,Adison997
5498484772,win,Ranked Solo,2021-10-10 01:07:41,32m 19s,7,7,12,2.71:1,Double Kill,empty,Malphite,Master,empty,Kennen,future memories,Talon,1v9wheneveriwąnt,Akshan,Sοlipsism,Ezreal,bewis1111,Yuumi,Oceans Apart,Malphite,Im fine thx you,Zed,I love mages,Xerath,Jukester,Lucian,Siskauskas,Braum,Jojonet
5497467674,win,Ranked Solo,2021-10-09 06:01:44,31m 21s,9,7,11,2.86:1,Double Kill,MVP,Tryndamere,Diamond 1,empty,Tryndamere,Im fine thx you,Ekko,2021Worlds0176,Qiyana,Built A Kingdom,Karthus,Sambrotta,Sett,Juppiterx,Camille,eX Tapez,Lillia,BrokenBarrel,Galio,peacefuI mind,Tristana,jdq,Rell,blq
5497432607,lose,Ranked Solo,2021-10-09 05:20:51,22m 50s,3,6,4,1.17:1,Double Kill,empty,Darius,Master,empty,Graves,lllllFakerlllll,Lee Sin,euw op gg,Galio,peacefuI mind,Brand,Jens milk good,Amumu,VRX Peter,Darius,Im fine thx you,Kayn,AlphaAsFuk,Sylas,fatefully,Vayne,2219413,Janna,CrimzOnSlayer
5497394700,lose,Ranked Solo,2021-10-09 04:45:48,32m 30s,2,12,4,0.50:1,empty,empty,Sylas,Master,empty,Ornn,dn1she,Kayn,Γ     Ω     β,Xerath,Jukester,Miss Fortune,Mindrago,Janna,nigelf32,Lux,Fillanthropist,Kha'Zix,AlphaAsFuk,Sylas,Im fine thx you,Lucian,ad895091,Braum,Jojonet
5496957672,win,Ranked Solo,2021-10-08 23:54:18,18m 35s,7,2,5,6.00:1,Double Kill,empty,Camille,Master,empty,Camille,Im fine thx you,Diana,Like a n1nja,Yasuo,Cypiisuo,Ziggs,IcelandWalrus,Karma,xaroula psilakhs,Tahm Kench,call of power,Kayn,Momo Statham,Zilean,flip my burgers ,Ezreal,Chief Keef,Yuumi,splendid kiss
5496923834,win,Ranked Solo,2021-10-08 23:26:42,26m 22s,10,7,7,2.43:1,Double Kill,empty,Tryndamere,Master,empty,Tryndamere,Im fine thx you,Kha'Zix,OXYTOCIN ABUSER ,LeBlanc,PL Shinobi,Kalista,IcelandWalrus,Nami,War in D4,Wukong,budget top 44,Hecarim,Οbsess,Twisted Fate,WilliamZabka1,Lucian,PLAYERS PARADISE,Leona,35 0nly
5496719599,win,Ranked Solo,2021-10-08 22:52:11,26m 37s,7,3,7,4.67:1,Double Kill,MVP,Darius,Master,empty,Riven,ΚyM,Viego,FTE e4ever24,Kayle,Suberhyber,Lucian,the høød,Rakan,TwTv Valenjin,Darius,Im fine thx you,Ekko,Upset,Talon,ISSE G,Ezreal,TripleBen,Nami,Symeοn
5496686515,lose,Ranked Solo,2021-10-08 22:14:39,21m 42s,5,8,1,0.75:1,Double Kill,ACE,Tryndamere,Master,empty,Viktor,protågonist,Hecarim,s3s3 glee glee,Akshan,7B DerScampi,Lucian,Johnny Dolphins,Nautilus,UP5 Timbo,Tryndamere,Im fine thx you,Viego,Goldax 19 ans,Twisted Fate,Upset,Ezreal,Poro with Cookie,Karma,SMB Kireas
5496762840,lose,Ranked Solo,2021-10-08 21:43:27,23m 32s,2,10,1,0.30:1,empty,empty,Camille,Master,empty,Camille,Im fine thx you,Ekko,bleeding jng acc,LeBlanc,Mysterias,Xayah,FPG Remix,Rakan,137137,Pantheon,JingleDingle,Kindred,Pathetic Matrix,Twisted Fate,FrostSize,Miss Fortune,Andolos,Bard,Hype Pengu
5496410204,win,Ranked Solo,2021-10-08 21:15:03,28m 21s,2,9,2,0.44:1,empty,empty,Aatrox,Master,empty,Aatrox,Im fine thx you,Kayn,Momo Statham,Zoe,nashe,Miss Fortune,Imperiál,Ashe,KIoen,Fiora,Dethron,Kindred,Xiemafxaflba,Irelia,Cveps,Katarina,Erisu,Rakan,Sanity1
5496447613,win,Ranked Solo,2021-10-08 20:39:26,20m 11s,12,6,1,2.17:1,Triple Kill,empty,Jax,Diamond 2,empty,Tryndamere,Smurfegutten,Ekko,Caroro,Irelia,barıs stuck acc,Miss Fortune,Kaalox ,Lulu,Desiru,Jax,Im fine thx you,Nidalee,Twtvv Nidaslave,Katarina,C1 Jungle,Lucian,euw macro cringe,Leona,tempskrlatddxuzw
5496415163,lose,Ranked Solo,2021-10-08 20:13:56,29m 30s,4,7,9,1.86:1,Double Kill,ACE,Tryndamere,Master,empty,Aatrox,FengDere,Lee Sin,Balkane1,Ziggs,DoubleAiM,Tristana,na strwsoume tpt,Amumu,r plus seven,Tryndamere,Im fine thx you,Lillia, Witeczek,Yone,JL Sayn,Caitlyn,ROAR Bluestrat,Anivia,adc pls good
5495764634,lose,Ranked Solo,2021-10-08 04:45:44,25m 38s,7,5,3,2.00:1,ACE,empty,Tahm Kench,Master,empty,Tahm Kench,Im fine thx you,Talon,KassaEve ,Vladimir,Smooth Guy,Jinx,Achuu,Thresh,imán de raxetas,LeBlanc,ƒallεn angel,Lee Sin,Goldguns88,Graves,nio top acc,Ezreal,Vallentino Rossi,Karma,Dry Flower
5495697911,win,Ranked Solo,2021-10-08 04:03:27,20m 57s,14,3,6,6.67:1,Double Kill,MVP,Aatrox,Master,empty,Aatrox,Im fine thx you,Qiyana,KassaEve ,Sylas,ION Marrow Ooze,Ezreal,Sirinöx,Yuumi,ŚCIERWO,Jax,Shiawase,Nidalee, Terrºr,Kassadin,Tziz,Lucian,SirAaron,Janna,Soft and Hairy
5495180008,win,Ranked Solo,2021-10-07 21:29:01,24m 52s,9,4,8,4.25:1,Double Kill,empty,Tryndamere,Master,empty,Tryndamere,Im fine thx you,Lee Sin,επιμονή,Fizz,PST Alex,Miss Fortune,D Vespa ,Bard,iDekap,Aatrox,sven4444,Viego,Haþubu,Kayle,kayle 1v9,Ziggs,Broeki,Thresh,SUP Toxic Keskin
5495246725,win,Ranked Solo,2021-10-07 20:57:59,28m 38s,4,5,15,3.80:1,empty,empty,Malphite,Master,empty,Malphite,Im fine thx you,Lee Sin,Rindou haitani,Galio,NotHuman V2,Miss Fortune,HalvorErEklegutt,Nami,SiemaTuBoczek,Kennen,Couráge,Nidalee,im waitin Canyon,Talon,KassaEve ,Kai'Sa,Mimler,Leona,GPUQSXMH
5495253462,win,Ranked Solo,2021-10-07 20:07:00,20m 28s,9,6,4,2.17:1,Double Kill,empty,Sylas,Master,empty,Sylas,Im fine thx you,Diana,BornThisWay7,Yone,2Cups,Ezreal,BŁiNK,Yuumi,qwerasdfzxcbvcxz,Gnar,P0NI,Jarvan IV,redminers123,Cassiopeia,Sτoπεd Snαke,Lucian,Secret Weapοn,Nami,stuck in low
5495220793,lose,Ranked Solo,2021-10-07 19:39:07,38m 4s,17,10,5,2.20:1,Triple Kill,empty,Darius,Master,empty,Rengar,xGenesîs,Qiyana,Chef JG,Zoe,Senstive,Xayah,maussko,Alistar,Paolocannone,Darius,Im fine thx you,Diana,redminers123,Syndra,C A Y E T A N Ø,Ezreal,SC Nazrat,Leona,wywoz botlejnu
5495119636,lose,Ranked Solo,2021-10-07 18:52:38,15m 0s,0,5,0,0.00:1,empty,empty,Aatrox,Master,empty,Aatrox,Im fine thx you,Kayn,i deserve losing,Sylas,Arini,Kai'Sa,Lang Zi Yan,Janna,Connithrill,Darius,ZETA Ghøster,Nunu & Willump,Jáximus,Irelia,Senstive,Lucian,maussko,Amumu,CBT ENJ0YER
5495157140,win,Ranked Solo,2021-10-07 18:30:33,27m 29s,2,11,8,0.91:1,empty,empty,Graves,Master,empty,Sion,Magneficents,Qiyana,Bigby WoIf,Ryze,Senstive,Draven,Νihilitas,Rakan,TwTv Valenjin,Graves,Im fine thx you,Lee Sin,Ρetrix,Karthus,hu7chyXXXbeifeng,Kog'Maw,fjoompbun,Lulu,CBT ENJ0YER
5494939295,lose,Ranked Solo,2021-10-07 09:20:01,23m 40s,8,11,3,1.00:1,Double Kill,ACE,Graves,Master,empty,Urgot,NO CRARl,Ekko,VoooDoooD,Yone,Mikey Tοman,Miss Fortune,Wood League,Amumu,Im cute uwu,Graves,Im fine thx you,Elise,TGM Schnorres,Sylas,Evenso,Draven,Odi11 style,Sett,ToÑoNen Fan
