gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5495739120,lose,Ranked Solo,2021-10-08 04:14:41,22m 54s,3,3,2,1.67:1,ACE,empty,Miss Fortune,Diamond 1,empty,Jayce,tempxpsokekjtgmh,Elise,ZPR Îkara,Yone,Picolééé,Miss Fortune,La Plata Otter,Braum,Lìttle Dino,Gnar,Ingens,Hecarim,μωμ μωμ ,Vladimir,Q8iStranger V2,Caitlyn,chipie123,Karma,caltys int acc
5495684763,win,Ranked Solo,2021-10-08 03:42:57,22m 19s,0,7,9,1.29:1,empty,empty,Jinx,Diamond 2,empty,Camille,VıNINE Shelfmade,Hecarim,Pls 404 Riven,Yone,Perszadeh,Aphelios,JéIx Dertyup,Yuumi,gamerrra123,Kayle,GUMMÓ,Zed,OP Anonymouss,Kassadin,pascalluke,Jinx,La Plata Otter,Nami,Śaitama
5495510314,win,URF,2021-10-08 01:55:59,12m 0s,10,7,7,2.43:1,Triple Kill,empty,Miss Fortune,empty,empty,Corki,Ti7aniumHammer,Zed,Adrianmomi11,Quinn,D2TDo,Lee Sin,FIynn,Wukong,GG Str1kèr,Miss Fortune,La Plata Otter,Irelia,Ntherinalag,Veigar,keysum,Zed,Ènýøv ,Trundle,Real Men FK Men
5493378415,win,Ranked Solo,2021-10-06 09:22:19,27m 17s,6,9,5,1.22:1,empty,empty,Sylas,Diamond 1,empty,Sylas,La Plata Otter,Kha'Zix,6S4P9,Tryndamere,ooook,Caitlyn,Which Idiot,Janna,xingε,Miss Fortune,BLACKPINK FIORA,Kayn,losers q énjoyer,Jax,Eternal Galaxy,Varus,El Dancin Potato,Twitch,You Scared
5493334498,win,Ranked Solo,2021-10-06 08:26:46,37m 34s,15,7,9,3.43:1,Double Kill,MVP,Miss Fortune,Diamond 2,empty,Kennen,potato lover,Talon,MansikkaJordgubb,Irelia,JuliaoFlC,Miss Fortune,La Plata Otter,Soraka,Toru Oikαwα,Darius,Fifoko,Lee Sin,Yzomandias,Yasuo,MoutardΣ,Veigar,malo tebya,Yuumi,tuokaZ
5490467186,win,Ranked Solo,2021-10-04 10:09:08,29m 53s,2,10,9,1.10:1,empty,empty,Graves,Diamond 1,empty,Riven,Dadash Matin,Master Yi,2021Worlds0006,Fizz,Jiwon Bian,Cassiopeia,KOSOMK EL D1,Yuumi,CringeZoeAbuser,Graves,La Plata Otter,Lee Sin,DIKU Dongbong,Kassadin,emptiness01,Miss Fortune,1stGodOfDeath,Amumu,AweZolf
5490464899,win,Ranked Solo,2021-10-04 09:26:00,27m 10s,18,5,5,4.60:1,Double Kill,empty,Miss Fortune,Diamond 4,empty,Poppy,Im an INTP,Shyvana,Yndonyitanat,LeBlanc,Long Jia Chen,Miss Fortune,La Plata Otter,Nami,AFW Gaia,Gnar,Dhuosnos,Kayn,Draven Jaks Nunu,Vex,SIPPING BLOOD,Aphelios,Rayejin,Twitch,MłodyZ
5490511595,win,Ranked Solo,2021-10-04 08:51:01,24m 12s,0,3,2,0.67:1,empty,empty,Sett,Diamond 3,empty,Poppy,Im an INTP,Jarvan IV,Ô Ž,Yasuo,ImNotSmurfingEUW,Karthus,HARDSTUCKDIAS10,Rakan,Dragisoo,Sett,La Plata Otter,Rammus,Mr Frogoz,Zoe,Fetzll,Jinx,MłodyZ,Brand,mWjJAnnabelle
5490418312,win,Ranked Solo,2021-10-04 08:04:12,19m 5s,4,2,9,6.50:1,empty,empty,Camille,Diamond 1,empty,Camille,La Plata Otter,Graves,xXSmurf123,Karthus,ΤORMENΤ,Tristana,L1L YACHTY BOII,Rakan,YOshií,Lulu,Hinata Hyuga,Kayn,losers q énjoyer,Anivia,KalbiniSökerim,Ezreal,ENE101,Lux,PatrykKolkiewicz
5490405213,win,Ranked Solo,2021-10-04 07:26:01,16m 0s,3,1,3,6.00:1,MVP,empty,Camille,Diamond 1,empty,Aatrox,yuekai is pig,Fiddlesticks,Guzzie Smurf,Akshan,PPG justapotato,Miss Fortune,abpcxlz,Nami,Boar Sïn Merlin,Camille,La Plata Otter,Graves,IIKassaxII,Syndra,TryArt Clothing,Lucian,Dwritsa Fave ,Lulu,dannipod
