gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5499740302,lose,Ranked Solo,2021-10-10 19:12:25,23m 21s,10,8,2,1.50:1,ACE,empty,Fiora,Master,empty,Fiora,PSG Helper,Mordekaiser,DONNE TON PSEUDO,Galio,Dietzy,Ezreal,ToasterM8,Yuumi,Angel Of Kou,Master Yi,SlaviN jj 7,Ekko,Ivama,Graves,BL Obelisk,Caitlyn,Play Date To You,Nami,GGnoSenna
5499677626,win,Ranked Solo,2021-10-10 18:38:30,26m 24s,11,5,7,3.60:1,Double Kill,empty,Graves,Master,empty,Graves,PSG Helper,Nunu & Willump,Vlasu0,Qiyana,Play Date To You,Karthus,Rezyn,Rakan,RedBull RB16B,Camille,Jervo,Nocturne,SEL0,Fizz,TWMNx ,Jhin,MAZHOUT,Leona,Der Walzer 
5498080718,lose,Ranked Solo,2021-10-09 19:04:16,30m 27s,9,8,3,1.50:1,Double Kill,ACE,Fiora,Master,empty,Sion,TheGranDDuellst,Ekko,Elyy Fanboy,Akali,PL Shinobi,Jhin,CrimzOnSlayer,Soraka,Jinzu,Fiora,PSG Helper,Qiyana, Witeczek,LeBlanc,MAJOR FestWho,Lucian,God Han Wenqing ,Nami,Box enjoyer
5497978222,lose,Ranked Solo,2021-10-09 18:29:30,26m 24s,3,6,6,1.50:1,empty,empty,Poppy,Master,empty,Singed,Mïggys,Xin Zhao,Český námořník,Zoe,BYS Lessy,Miss Fortune,Castanic,Amumu,Nabodocus,Poppy,PSG Helper,Qiyana,sofrito,Sylas,Snus enjoyer1,Lucian,derin nefes al,Nami,Rakao
5497814389,lose,Ranked Solo,2021-10-09 09:10:01,22m 29s,1,6,1,0.33:1,empty,empty,Fiora,Master,empty,Fiora,PSG Helper,Lee Sin,LittIe Trouble,LeBlanc,TwTv Xouralol,Lucian,maoxiandao,Nami,Jason Vuong,Graves,BYLENZZZ,Evelynn,Bannis De LoL,Vex,Chamana1,Miss Fortune,Nero Forte,Galio,Bloody Butcherr
5497742012,win,Ranked Solo,2021-10-09 08:29:33,18m 7s,3,4,2,1.25:1,empty,empty,Cho'Gath,Master,empty,Cho'Gath,PSG Helper,Ekko,xRachedx,Lucian,Sh3ryto,Jhin,TOPSHOTTA99,Karma,CleverClive,Kennen,future memories,Graves,minedamien1,Vex,lceCrystaI,Vayne,NOX ilyy,Janna,dejan1
5497676351,lose,Ranked Solo,2021-10-09 07:56:39,29m 50s,4,13,4,0.62:1,empty,empty,Jayce,Master,empty,Aatrox,KuonOuO,Qiyana,baba tireurennu,Sylas,zzzzzzzzzz123,Aphelios,Hayakawa Akí,Karma,ahmet rock,Jayce,PSG Helper,Kha'Zix,Barsas,Galio,QUESTIÖN MARK ,Lucian,Its Jay,Nami,itSir
5497701297,win,Ranked Solo,2021-10-09 07:14:13,18m 51s,15,1,5,20.00:1,Double Kill,MVP,Rumble,Master,empty,Shen,mam dość tej gry,Kayn,G2 Manolo,Vladimir,UNΛVERAGE,Caitlyn,OverKillHao,Bard,HachchickeN,Vayne,Sorest,Zac,Exalty Codouzed,Rumble,PSG Helper,Draven,TwTv daudr9,Nami,dejan1
5497605265,win,Ranked Solo,2021-10-09 06:47:26,29m 32s,8,7,2,1.43:1,empty,empty,Graves,Master,empty,Graves,PSG Helper,Lee Sin,Pablo Parito,Vex,Nitrooo,Lucian,2219413,Nami,BotFiifo,Urgot,UrgoIncognito,Qiyana,nice gυy,Zoe,Alþhinaud,Kai'Sa,OverKillHao,Alistar,Inverted Enoch
5496393175,win,Ranked Solo,2021-10-08 19:42:39,27m 23s,4,2,3,3.50:1,MVP,empty,Fiora,Master,empty,Gangplank,Vertigo vincet,Taliyah,Noerring,Corki,WOL Justas,Miss Fortune,Matebuff,Braum,Im cute uwu,Fiora,PSG Helper,Talon,WKR tooshi,LeBlanc,KLOFAN,Heimerdinger,NKI Azitor,Pyke,MartHR1
5496400719,win,Ranked Solo,2021-10-08 19:04:52,26m 49s,6,7,9,2.14:1,Double Kill,empty,Jayce,Master,empty,Jayce,PSG Helper,Kha'Zix,Barsas,Twisted Fate,Revalito,Miss Fortune,4ssarad,Bard,OR SpaceXBard,Riven,YEP C,Udyr,jankos fann,Galio,Samaeî,Tristana,LA RATA ANNIENTA,Lulu,Sora shi
5496318691,win,Ranked Solo,2021-10-08 18:33:15,25m 38s,6,0,5,Perfect,Double Kill,empty,Fiora,Master,empty,Fiora,PSG Helper,Kha'Zix,Barsas,Sylas,BèAnn,Ziggs,FB Genosect,Soraka,Angel Of Kou,Hecarim,xGenesîs,Ekko,Yaeow1,Syndra,Ialala,Lucian,44 GRINGO ABI,Nami,Nabodocus
5496113504,win,Ranked Solo,2021-10-08 08:18:14,36m 1s,11,4,7,4.50:1,Double Kill,MVP,Fiora,Master,empty,Gangplank,4cB CBuH,Jarvan IV,Knówingly Úp,Karthus,more of it,Ezreal,PD Xirionto,Karma,Yuukaka,Fiora,PSG Helper,Nunu & Willump,AimlessEquation,Akshan,Poro with Cookie,Vayne,CarNando is real,Rakan,TBR Sora
5496019222,lose,Ranked Solo,2021-10-08 07:32:45,29m 46s,5,9,8,1.44:1,Double Kill,ACE,Fiora,Master,empty,Wukong,SasukeTheMighty,Rammus,Hi Plum Here,Singed,WeAz SoRya,Senna,more of it,Leona,higidio,Fiora,PSG Helper,Diana,NotHuman V2,Tryndamere,ToÑoNen Fan,Miss Fortune,CarNando is real,Nami,nekr0shade
5495587448,win,Ranked Solo,2021-10-08 03:00:02,27m 39s,6,6,4,1.67:1,Double Kill,empty,Fiora,Master,empty,Aatrox,2021Worlds0011,Kindred,I Flame in Morse,Vel'Koz,SoldSoupForLP,Kalista,kkuk apantsak,Leona,Algos7,Fiora,PSG Helper,Rek'Sai,DaTrace,Syndra,Sh3ryto,Vayne,i Iove hot moms,Lulu,High Focus
5495632616,lose,Ranked Solo,2021-10-08 02:26:14,22m 3s,4,6,3,1.17:1,Double Kill,empty,Fiora,Master,empty,Fiora,PSG Helper,Nidalee,6EVIL6EMPIRE6,Yone,Painfυl,Kai'Sa,Bulvator,Blitzcrank,lIIllIllIIIlII,Sion,Copium Driver,Taliyah,àlea iacta est,Twisted Fate,Ruinous,Lucian,tyberzen,Leona,s3s3 glee glee
5495539612,win,Ranked Solo,2021-10-08 01:59:18,16m 10s,6,1,0,6.00:1,Double Kill,empty,Fiora,Master,empty,Fiora,PSG Helper,Shaco,shanklone,Vex,P00pman,Kai'Sa,SC SimBz,Nautilus,Atypicalthresh,Yone,404 Neltran,Ekko,BèAnn,Jax,FIX SOL0Q,Lucian,FB Genosect,Yuumi,Enchantress UwU
5495544650,win,Ranked Solo,2021-10-08 01:35:00,28m 2s,11,5,6,3.40:1,empty,empty,Fiora,Master,empty,Fiora,PSG Helper,Sejuani,The Chewbacca,Galio,Break A Kingdom,Miss Fortune,Luntear,Bard,Wargenn404,Camille,no its raining,Graves,Nielszx,Akali,Trtgfg,Aphelios,And l Will,Vex,AxDiamonds
5495430240,win,Ranked Solo,2021-10-08 01:01:41,32m 10s,12,3,10,7.33:1,Double Kill,MVP,Jayce,Master,empty,Jayce,PSG Helper,Talon,MadCl0wn,Azir,TRC Dovendyr,Lucian,KDavid02,Nami,EWS HNT Imp3r,Aatrox,WoaiTT,Zed,nice gυy,Ryze,TIOPGM,Miss Fortune,Yazmatti,Leona,Everfrost King
5495436894,lose,Ranked Solo,2021-10-08 00:24:24,22m 8s,4,10,5,0.90:1,empty,empty,Jayce,Master,empty,Jayce,PSG Helper,Fiddlesticks,lIIllIllIIIlII,Yasuo,Reflexion1,Miss Fortune,Luntear,Rakan,chasing my way,Pantheon,GG Gaboesh,Xin Zhao,Citron Njutare,Azir,KAOS Kejila,Jinx,take a moment,Taliyah,magifaker mental
5495050726,win,Ranked Solo,2021-10-07 09:56:52,29m 57s,8,6,9,2.83:1,empty,empty,Jayce,Master,empty,Jayce,PSG Helper,Ivern,RCG DenxDe,Neeko,Calculations,Lucian,VDE Snow,Thresh,GNf KwebZ,Jax,Eternal Galaxy,Lee Sin,Kuriakos Grizzly,Kassadin,ryan gosling xd,Kog'Maw,K157,Miss Fortune,Stroking Penls
5494879424,lose,Ranked Solo,2021-10-07 09:19:52,30m 6s,2,7,1,0.43:1,empty,empty,Fiora,Diamond 1,empty,Fiora,PSG Helper,Talon,404 fighteser,Ryze,nonamexyz,Kog'Maw,slajser2013,Karma,Anticide1,Xerath,Cronan,Qiyana,SUN DISC MAN,Lillia,BaldArcherTV,Lucian,MurksC,Nami,FWZ Rambo
5492031590,win,Ranked Solo,2021-10-05 18:27:57,23m 32s,6,5,4,2.00:1,empty,empty,Jayce,Master,empty,Akshan,Dziuba,Ekko,Ziix Garguentua,Kassadin,MΟRGENSHTERN,Jhin,mojoloS,Zyra,Lars Agnar,Jayce,PSG Helper,Nunu & Willump,Benson Freitas,Gragas,GRimSLaughing,Ezreal,Knówingly Úp,Karma,Gigolo Garold
5491397120,lose,Ranked Solo,2021-10-05 04:54:21,25m 27s,1,10,5,0.60:1,empty,empty,Jayce,Master,empty,Jayce,PSG Helper,Jarvan IV,Summoner026,Fizz,Nøt a trickster,Brand,Ansigtssmerte ,Rakan,Nihachu,Camille,Attitude is Κey,Kha'Zix,Gurklys,Kennen,TwTv Kibbylol,Miss Fortune,sad jgl diff,Karma,MrOregano tests
5491159106,lose,Ranked Solo,2021-10-05 03:08:46,36m 36s,14,9,6,2.22:1,Double Kill,empty,Gnar,Master,empty,Gnar,PSG Helper,Graves,nice gυy,Rumble,WoppaChobba,Ezreal,evorpmi lliw,Sona,Ektoz,Kled,Dyoll,Shaco,shanklone,Twisted Fate,Fearless Ravenno,Vayne,ItsUniqueCORN,Nami,10BillionPercent
5491154804,win,Ranked Solo,2021-10-05 02:25:36,20m 48s,2,3,3,1.67:1,Double Kill,empty,Gnar,Master,empty,Jayce,Microz,Nidalee,nice gυy,Viktor,SoloWarfare,Caitlyn,Fearless Ravenno,Karma,Χintox,Gnar,PSG Helper,Zed,on me,Ekko,Jin 97,Miss Fortune,prayer23,Yuumi,RNG Fanboy
5491109431,lose,Ranked Solo,2021-10-05 01:59:45,20m 11s,1,7,1,0.29:1,empty,empty,Quinn,Master,empty,Tryndamere,BLBLBLBLBL ,Jarvan IV,TRChallanger 1,Sylas,OR Valans,Ezreal,carry Mind,Rakan,Sewayx,Quinn,PSG Helper,Zed,Amys Bloke,Vex,strong mental,Vladimir,PYRAMID BELIEVER,Lulu,Réd Fläg
5491074178,win,Ranked Solo,2021-10-05 01:29:20,34m 39s,5,9,15,2.22:1,Double Kill,empty,Gnar,Diamond 1,empty,Soraka,Bladerust,Evelynn,tiktok mechanics,Corki,Rimtuolis,Lucian,xqcL9,Rakan,2 1,Gnar,PSG Helper,Diana,McFitty,Zed,Zednédine Zedane,Miss Fortune,LFX,Thresh,tempvvunswgcsqgc
5491090667,win,Ranked Solo,2021-10-05 00:48:44,15m 51s,2,7,3,0.71:1,empty,empty,Cassiopeia,Diamond 1,empty,Talon,PachiD7,Hecarim,231,Fizz,Honeyβadger,Kalista,M866,Nautilus,ŁaTaSziet,Graves,JacquesWebsterII,Viego,The Chewbacca,Cassiopeia,PSG Helper,Draven,Joachim Löwelo,Bard,Wargenn404
5490958587,win,Ranked Solo,2021-10-05 00:23:58,18m 16s,4,2,1,2.50:1,empty,empty,Graves,Master,empty,Sett,îoî,Zac,Dzierżoniowianin,Sion,Ζum0,Draven,KILL ME AHAHAHA,Rakan,Joo1,Graves,PSG Helper,Taliyah,Despien,Yone,Veito,Kai'Sa,And l Will,Pantheon,Ojsu V2
5490954269,lose,Ranked Solo,2021-10-04 23:59:22,30m 7s,10,6,3,2.17:1,empty,empty,Jarvan IV,Master,empty,Jarvan IV,PSG Helper,Volibear,TURBO Peche,Ryze,unexpected,Aphelios,Shnack,Thresh,Coach Rayskat,Graves,Wheel Skeleton,Nocturne,HappyAiM,Swain,Lasse Laserturk,Zilean,RESET MMR DIMIL,Rakan,S11 Support KEKW
