gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5500648303,win,Ranked Solo,2021-10-11 05:14:05,21m 27s,10,3,6,5.33:1,Double Kill,empty,Sylas,Master,empty,Sylas,HeIsinki,Lee Sin,redminers123,Akshan,ION Marrow Ooze,Ezreal,NINJA ARCHER,Braum,LM07,Gnar,H ι r o,Qiyana,DUALIPAadfhgkdgk,Zoe,Chrego,Vayne,141414ADADAD,Leona,not a chat user
5500670655,lose,Ranked Solo,2021-10-11 04:39:00,27m 13s,1,8,5,0.75:1,empty,empty,Kennen,Master,empty,Sett,borcigendale,Gragas,nap ability,Sylas,KassaEve ,Lucian,quack1,Yuumi,SECONDĄTE,Kennen,HeIsinki,Xin Zhao,Keule183,Zed,Smooth Guy,Miss Fortune,Ryuin,Amumu,židovskej cigan
5500492420,win,Ranked Solo,2021-10-11 03:36:24,21m 29s,6,1,7,13.00:1,Double Kill,MVP,Kennen,Master,empty,Kennen,HeIsinki,Lee Sin,Vakulich,Zed,TwTv PROJECT BZ,Miss Fortune,Beenie 11,Sona,Jae,Sylas,Tommy944,Ekko,TwTv iljimaeLoL,Yone,TwitchTV xAKEN,Draven,HalvorErEklegutt,Pyke,Traypo
5500466067,win,Ranked Solo,2021-10-11 03:09:30,26m 10s,4,3,10,4.67:1,MVP,empty,Sylas,Master,empty,Sylas,HeIsinki,Trundle,BIood drippin,Yasuo,Yikes a Yas Main,Lucian,HeavenIsFalling,Nami,Traypo,Ornn,TwTv Makkro0,Poppy,Dandom1,Akali,00N ERIXEN,Samira,Happy Mish,Nautilus,Siskauskas
5500332422,lose,Ranked Solo,2021-10-11 01:35:41,22m 45s,5,3,2,2.33:1,ACE,empty,Sylas,Master,empty,Gragas,Bronsly,Xin Zhao,SLY Djoko,Twisted Fate,fastFF,Lucian,DEVN,Soraka,14yo smurf ,Sylas,HeIsinki,Lee Sin,VâllHîR,Yone,NattyNatt,Ezreal,Adison997,Brand,Littlebuffbabe
5500238661,win,Ranked Solo,2021-10-11 01:05:42,16m 19s,4,4,3,1.75:1,empty,empty,Sylas,Master,empty,Ornn,TwTv Makkro0,Kindred,egirIs stay away,Lulu,WW Macias,Jhin,League Enjoyer 1,Nautilus,Lil Ûzi Vert,Sylas,HeIsinki,Xin Zhao,Hamudis,Zoe,SW Hitbox,Lucian,Beenie 11,Braum,whiteinn
5500203844,win,Ranked Solo,2021-10-11 00:41:49,23m 36s,5,5,2,1.40:1,empty,empty,Jax,Master,empty,Sett,OOEEEEEEEE DÉDÉ,Rengar,ADCImpregnator,Corki,Hamudis,Tristana,Načatá Baculka,Braum,Paolocannone,Jax,HeIsinki,Kindred,Cast,Ryze,WW Macias,Varus,OlivierLeRoutier,Thresh,SECONDĄTE
5499930831,lose,Ranked Solo,2021-10-10 21:04:51,39m 3s,5,8,5,1.25:1,empty,empty,Jax,Master,empty,Jax,HeIsinki,Kindred,معزة,Vex,RKT Maςaquiñø,Miss Fortune,Sensei Cookie x ,Lulu,i poly you,Camille,JESUISRANDOMEXD,Qiyana,PEWPEWPEWPEWPEWP,Vladimir,BIeed for me,Kai'Sa,devil in details,Yuumi,Sakiom
5499793163,win,Ranked Solo,2021-10-10 19:28:18,15m 20s,5,0,0,Perfect,empty,empty,Kennen,Grandmaster,empty,Pantheon,Thinking PLZ ,Qiyana,LeChase,Kennen,HeIsinki,Draven,Namex,Leona,i dream lucid,Riven,it s just over,Jarvan IV,Expecto Patrounm,Vex,CaÞs,Miss Fortune,kaylem ad acc,Lulu,Siskauskas
5499757331,win,Ranked Solo,2021-10-10 19:03:43,40m 54s,8,7,8,2.29:1,empty,empty,Jax,Master,empty,Jax,HeIsinki,Lillia,LeChase,Lux,Erisu,Miss Fortune,nrmn,Pyke,Siskauskas,Yone,Madzzz,Lee Sin,ég jojopyun,Yasuo,midlane fighting,Syndra,eX Chonky,Xerath,Khal Suppo
