gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5500336283,lose,Ranked Solo,2021-10-11 02:09:50,32m 9s,11,8,9,2.50:1,empty,empty,Kai'Sa,Master,empty,Ornn,Byzza,Xin Zhao,Mid prio pls ,Twisted Fate,Goldenpenny,Kai'Sa,2021Worlds0076,Thresh,Dimil Q,Fiora,lennylennylenny,Lee Sin,ReX Thayger,Sylas,Nicolás Colocho,Miss Fortune,ad895091,Rell,LQTWUXWEEX
5499861067,win,Ranked Solo,2021-10-10 19:37:33,35m 7s,16,3,3,6.33:1,Quadra Kill,empty,Miss Fortune,Master,empty,Kled,Katchy22,Rengar,hubi v9,Twisted Fate,coza,Lucian,Chad Movement,Janna,nigelf32,Singed,WHEELCHAIRWIZARD,Qiyana,Icelandwinter,Tristana,LΣVl,Miss Fortune,2021Worlds0076,Amumu,LM07
5498085426,win,Ranked Solo,2021-10-09 19:48:34,24m 28s,14,1,12,26.00:1,Double Kill,empty,Jhin,Master,empty,Poppy,DNR,Ekko,HUMBLE VELJA,Qiyana,Mohe dance hall,Tristana,Abner,Rakan,SUP Toxic Keskin,Fiora,XLeQu,Hecarim,SRB Jungler 47,Ryze,MuteAllToChalle,Jhin,2021Worlds0076,Bard,LM02
5497659405,lose,Ranked Solo,2021-10-09 08:23:17,33m 10s,12,6,13,4.17:1,ACE,empty,Kai'Sa,Master,empty,Singed,Sorya,Graves,Sawyorr,Galio,GS Bolulu,Lucian,141414ADADAD,Bard,LM07,Irelia,weaksider123,Qiyana,DUALIPAadfhgkdgk,Vex,Its Me InDeed,Kai'Sa,2021Worlds0076,Thresh,Chouineur 1
5497684624,win,Ranked Solo,2021-10-09 07:40:52,23m 12s,11,4,16,6.75:1,Double Kill,MVP,Miss Fortune,Master,empty,Gnar,Νight Drive,Lee Sin,ImJony,Kassadin,KBR TunisiaKing,Lucian,Mental Himalaya,Leona,mad on pixels,Lillia,11240,Xin Zhao,tes zhu0,Sylas,White Steel Eel,Miss Fortune,2021Worlds0076,Rakan,Banande
5497540013,win,Ranked Solo,2021-10-09 07:06:38,24m 35s,14,6,9,3.83:1,Double Kill,MVP,Tristana,Master,empty,Graves,SMB NuQ,Evelynn,Μaverick,Zed,TwTv PROJECT BZ,Tristana,2021Worlds0076,Taric,Acorderr,Sett,aléc,Kindred,Pathetic Matrix,Ryze,Jαvier,Lucian,pewpawpewpew,Braum,SLY SteeelBack
5497542866,lose,Ranked Solo,2021-10-09 06:31:29,31m 57s,2,3,9,3.67:1,ACE,empty,Miss Fortune,Master,empty,Graves,BYLENZZZ,Jarvan IV,SidXRam,LeBlanc,Lithuanian Cryin,Miss Fortune,2021Worlds0076,Thresh,Tripod,Tahm Kench,lD B T Wl,Qiyana,KassaEve ,Yasuo,midlane fighting,Ziggs,shine on me,Rakan,Paolocannone
5497023001,lose,Ranked Solo,2021-10-09 00:41:25,26m 54s,3,7,3,0.86:1,empty,empty,Miss Fortune,Grandmaster,empty,Aatrox,TheRoyalKanin,Xin Zhao,lövhögen,Ekko,Serendrip,Ziggs,ttvsyndroomboy,Rakan,CT 9904,Kennen,Seifzone,Graves,Boukada,Kassadin,Twitch Ag0nyPain,Miss Fortune,2021Worlds0076,Nami,Qnoxs
5496988408,win,Ranked Solo,2021-10-08 23:58:31,14m 17s,3,2,3,3.00:1,empty,empty,Miss Fortune,Master,empty,Tryndamere,Einard,Rumble,korea bbq,Fiora,TurningBackTime1,Miss Fortune,2021Worlds0076,Nami,Helaz,Jax,SoloLeveling5,Ekko,TwTv iljimaeLoL,Vayne,Voodoo Valentino,Kai'Sa,LΣVl,Zilean,Raerthus
5496433346,lose,Ranked Solo,2021-10-08 20:01:38,40m 12s,9,9,9,2.00:1,empty,empty,Lucian,Master,empty,Fiora,pivosos1,Diana,Habibien,Illaoi,Biertje,Lucian,2021Worlds0076,Nami,spaghetti bud,Graves,R0o2,Zed,Jungler3,Malzahar,1014 ALYX 9SM,Miss Fortune,Matthew L,Yuumi,Dreamer Ace
5496451337,lose,Ranked Solo,2021-10-08 19:13:53,15m 18s,0,4,2,0.50:1,empty,empty,Karma,Master,empty,Yone,89 fds 126,Xin Zhao,Adam GrepŁ,Sylas,lwlwlwlwlw,Caitlyn,Davidssonxxx,Karma,2021Worlds0076,Seraphine,Soft and Hairy,Graves,FTY Densi ,Kennen,R0o2,Jhin,Arktoso,Amumu,Bardo Za warudo
5496084680,win,Ranked Solo,2021-10-08 08:20:50,28m 28s,18,7,8,3.71:1,Triple Kill,empty,Tristana,Master,empty,Garen,HateTheOtherSide,Nunu & Willump,PD Zapdo,Twisted Fate,Michal Fiebich ,Tristana,2021Worlds0076,Rakan,Motleyy Crew,Riven,PeberJack,Xin Zhao,JAMES HUNT,Sylas,Demon Pun1sher,Twitch,Pinky windy,Morgana,Iabrov fan
