gameID,gameResult,GameType,gameTime_string,GameLength,kill,Death,Assist,KDARatio,Badge1,Badge2,champion,Tier_Average,Control_Ward,teammate_champion0,teammate_id0,teammate_champion1,teammate_id1,teammate_champion2,teammate_id2,teammate_champion3,teammate_id3,teammate_champion4,teammate_id4,enermy_champion0,enermy_id0,enermy_champion1,enermy_id1,enermy_champion2,enermy_id2,enermy_champion3,enermy_id3,enermy_champion4,enermy_id4
5498529416,win,Ranked Solo,2021-10-10 02:54:09,41m 18s,7,9,16,2.56:1,Double Kill,empty,Jayce,Diamond 1,empty,Jayce,yuekai is pig,Poppy,The Red Banana,Vladimir,AstroPhiland,Ziggs,Kisecchi,Bard,Lol V Stein,Singed,SHMURÐERED,Kha'Zix,WhatIfS11isS10,Ryze,998 DUSTY,Sivir,Gist,Leona,GAY SEX HAVER
5498564751,lose,Ranked Solo,2021-10-10 02:06:37,23m 13s,3,6,4,1.17:1,empty,empty,Irelia,Platinum 1,empty,Gangplank,Facecheese,Talon,Gueranne,Zed,masters0052,Kog'Maw,Treehouse Abuser,Lulu,VAE PowerToyZ,Irelia,yuekai is pig,Elise,TurboTommy72,Vladimir,SIPPING BLOOD,Aphelios,RadarkÁdc,Thresh,SuN BusinessPlan
5498507689,win,Ranked Solo,2021-10-10 01:24:09,26m 39s,5,7,9,2.00:1,empty,empty,Syndra,Diamond 2,empty,Syndra,yuekai is pig,Kayn,Niram,Yasuo,horny,Lucian,XYYFB,Leona,Khαrnαge,Fiora,Hastèr,Karthus,Kemor,LeBlanc,King Kendrick,Ezreal,LSE Dog,Nami,Cats enjoyer
5497770642,lose,Ranked Solo,2021-10-09 08:26:17,24m 10s,4,8,10,1.75:1,ACE,empty,Olaf,Diamond 2,empty,Riven,d1stant star,Nocturne,uβbβ,Xerath,Kyubae,Ashe,WaTPL,Soraka,SenuaI,Shen,KanekiˇKun,Olaf,yuekai is pig,Kassadin,HealingMark,Miss Fortune,Juanitø,Heimerdinger,Ðr Heimerdınger
5497675935,lose,Ranked Solo,2021-10-09 07:54:24,31m 31s,4,6,14,3.00:1,Double Kill,empty,Hecarim,Diamond 1,empty,Riven,ThePandaHybrid,Qiyana,Köby,Kassadin,AOMAFIA,Cassiopeia,The rat mid,Rakan,agac,Fiora,Gold fist LeeSin,Hecarim,yuekai is pig,Talon,Egirl Mid,Jhin,ion de la raion,Brand,S10 HeiIung
5497671038,lose,Ranked Solo,2021-10-09 07:13:59,24m 29s,6,7,9,2.14:1,empty,empty,Jarvan IV,Diamond 1,empty,Yone,Talus,Master Yi,2021Worlds0006,Vel'Koz,Hardstuck VelKoz,Ezreal,ŁordVanDamm,Nami,Amnis,Singed,ImperiaI Mandate,Jarvan IV,yuekai is pig,Xerath,Timoté,Lucian,Gusar ayy,Zilean,HOMEandAWAY
5497566379,lose,Ranked Solo,2021-10-09 06:45:11,24m 33s,2,11,6,0.73:1,empty,empty,Graves,Diamond 1,empty,Camille, didnt ąsk,Kindred,ECO Technokrat,Kayle,Senorita,Aphelios,VibingWithDucks,Karma,ECO JayAgeDee,Aatrox,Frère Jean Low,Graves,yuekai is pig,Jayce,Imaginary gun,Karthus,Raspberries,Yuumi,Uneasy
5497440220,win,Ranked Solo,2021-10-09 06:12:56,29m 25s,11,2,6,8.50:1,MVP,empty,Graves,Diamond 2,empty,Jayce,Biljetti,Zed,Włóczykij,LeBlanc,Hot Asian Woman,Draven,Xian Xiou Xiau,Leona,BoostedBroh,Graves,yuekai is pig,Shaco,MiniMarchal,Syndra,Mel2,Lucian,Frère Jean Low,Nami,Janna Terrorist 
5496148502,win,URF,2021-10-08 09:09:48,20m 35s,0,11,5,0.45:1,empty,empty,Miss Fortune,empty,empty,Kai'Sa,TATAKAEEEE,Yone,Açoreano,Kassadin,Aurelion Sass,Janna,SalbeiDon,Varus,Adn Pingnouf,Lucian,2021Worlds0179,Miss Fortune,yuekai is pig,Zoe,h11d44n,Kassadin,C4 Kekeweke,Ashe,Binbloed
5496146814,lose,URF,2021-10-08 08:44:56,20m 7s,4,12,15,1.58:1,empty,empty,Seraphine,empty,empty,Ashe,grebsrofannoj,Kennen,GAMERVBG1221,Vex,Ornn la frappe,Jinx,lorenzolamax,LeBlanc,Drivebymowfo,Senna,2021Worlds0179,Seraphine,yuekai is pig,Trundle,I Hide bush,Ezreal,Piineapple Head,Lux,Mizuki Nana
